,,,,auroc,auprc,f1_score,matthews_correlation_coefficient,accuracy,precision,recall
,,,,mean,mean,mean,mean,mean,mean,mean
graph_name,model_name,evaluation_mode,holdout_number,,,,,,,
VIEW1_directed,Random Forest Classifier,test,0,0.946071808002096,0.9479858645147876,0.659047005795235,0.0089146084835399,0.5017163724173034,0.5008926015642073,0.9631601375465344
VIEW1_directed,Random Forest Classifier,test,1,0.9458066725424707,0.9455619588894292,0.6589170350221013,0.0067598930635488,0.501290238575766,0.5006705072171798,0.9634264711974952
VIEW1_directed,Random Forest Classifier,test,2,0.9470231536374438,0.9469016101830452,0.6590330325592496,0.0061167372607589,0.5011541124874971,0.5005992072027778,0.964187001734128
VIEW1_directed,Random Forest Classifier,test,3,0.9451086211559072,0.9455513621902448,0.6588659940948369,0.006939706547437,0.5013301886234102,0.5006915097372878,0.96313054491865
VIEW1_directed,Random Forest Classifier,test,4,0.9450948415921224,0.945113198910082,0.6587840300671489,0.0070480901194739,0.5013583016199005,0.5007064429443434,0.9627251259166316
VIEW1_directed,Random Forest Classifier,train,0,0.9350403557368486,0.9351504992577876,0.6557677407963094,-0.0095585366156693,0.498084254338818,0.4990002088770023,0.9561572043356
VIEW1_directed,Random Forest Classifier,train,1,0.9354781201912578,0.9360575211649984,0.6558123477559001,-0.0095969157255037,0.4980809251804958,0.4989986790592678,0.9563525149571686
VIEW1_directed,Random Forest Classifier,train,2,0.9377760512956124,0.9382912369542566,0.6561717058694754,-0.0099523437317101,0.4980472636907937,0.4989828371348647,0.9579408933833348
VIEW1_directed,Random Forest Classifier,train,3,0.9357855788253234,0.9361893395806786,0.6558224137554979,-0.0099628055378584,0.4980132322946112,0.4989636175939951,0.9565241515640016
VIEW1_directed,Random Forest Classifier,train,4,0.935872950222951,0.9364027068305328,0.6559431428864186,-0.0089972740488513,0.4982048438513775,0.4990635262280194,0.956670634530178
VIEW4_directed,Random Forest Classifier,test,0,0.9206746394473592,0.9219618624639976,0.6549194130382487,0.0072677967627486,0.501669641189983,0.5008842515827988,0.9457681435066372
VIEW4_directed,Random Forest Classifier,test,1,0.923709337948686,0.9241425110976744,0.6552401239058855,0.0044735026810054,0.5009987450551264,0.5005271046371458,0.9483865924989904
VIEW4_directed,Random Forest Classifier,test,2,0.921257547943756,0.9210819845695046,0.6551122299391988,0.0064191265456788,0.501456865069543,0.5007704018719273,0.9469796646822036
VIEW4_directed,Random Forest Classifier,test,3,0.9201096113759702,0.9200981870170069,0.6546945178658099,0.0046815747587085,0.5010682229720047,0.5005652573529412,0.9459678925176626
VIEW4_directed,Random Forest Classifier,test,4,0.9217836021671016,0.9247770010262718,0.6549973481097958,0.0063650308041265,0.5014503515148357,0.5007673327605141,0.9465106887432748
VIEW4_directed,Random Forest Classifier,train,0,0.9059110356741992,0.9070453674920912,0.6505299299022147,-0.0119885046085941,0.4971297091387933,0.4984715437754718,0.9360806634236576
VIEW4_directed,Random Forest Classifier,train,1,0.9124852049642924,0.9135584878574556,0.6516460704158612,-0.0120492749503336,0.4972138420970927,0.4985232168267546,0.9405337394874512
VIEW4_directed,Random Forest Classifier,train,2,0.9096776973677972,0.9109881319584678,0.6512159571543176,-0.0113013085378307,0.4973408557244607,0.4985873286930584,0.9385167196613838
VIEW4_directed,Random Forest Classifier,train,3,0.9087093704065684,0.9100614357782626,0.6509382464993994,-0.0124550854020268,0.4970613171855951,0.4984382500092308,0.9378914218035718
VIEW4_directed,Random Forest Classifier,train,4,0.9083395229178212,0.9090229367141592,0.6510354432583425,-0.011281013839105,0.4973305426521531,0.498580770274092,0.9377904622536124
VIEW5_directed,Random Forest Classifier,test,0,0.9196987581291042,0.920378493638184,0.6545885514335462,0.0039375392529792,0.5008980731049116,0.5004751966009466,0.9458470722376549
VIEW5_directed,Random Forest Classifier,test,1,0.9183977405610906,0.9185093471971744,0.6547953812088643,0.0074600588014281,0.5017235079439849,0.500913432710457,0.9451471034941208
VIEW5_directed,Random Forest Classifier,test,2,0.9166663981720286,0.9170631620542828,0.6544090605977834,0.0064278485082425,0.5014967885081861,0.5007940808280862,0.943962879644997
VIEW5_directed,Random Forest Classifier,test,3,0.9205899073292312,0.9234459947152052,0.6550772096880665,0.008642189849433,0.5019898482520592,0.50105413397763,0.9458206583228044
VIEW5_directed,Random Forest Classifier,test,4,0.9213987630479442,0.9211956580078138,0.6549906141954774,0.0052116881939656,0.501179821529982,0.5006237054620774,0.9469960775336448
VIEW5_directed,Random Forest Classifier,train,0,0.9079850386430464,0.9090920919980884,0.6507935840889685,-0.012673549421588,0.4969998294106965,0.4984048591524571,0.9374091336814824
VIEW5_directed,Random Forest Classifier,train,1,0.9051540295364864,0.9065270196141714,0.6503072131975423,-0.0123986207512047,0.4970179889171982,0.4984110414876803,0.9353719672248422
VIEW5_directed,Random Forest Classifier,train,2,0.904874895561642,0.906210989115872,0.6503721041662043,-0.0112974159564406,0.4972733225843729,0.4985463777376063,0.9351639583321868
VIEW5_directed,Random Forest Classifier,train,3,0.9059199452671756,0.9066430933175548,0.6504296504296504,-0.0130007501105097,0.4968936238120656,0.4983462886263913,0.9361071520941212
VIEW5_directed,Random Forest Classifier,train,4,0.9087401529119252,0.9100440868161632,0.6509395267269212,-0.0125570111488468,0.4970388998640788,0.498426452672808,0.9379385108104092
