,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,recall,threat_score,specificity,precision,negative_likelyhood_ratio,diagnostic_odds_ratio,f1_score,negative_predictive_value,informedness,markedness,positive_likelyhood_ratio,accuracy,prevalence_threshold,balanced_accuracy,fowlkes_mallows_index,miss_rate,false_omission_rate,fall_out,prevalence,false_discovery_rate,matthews_correlation_coefficient,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005918508063,1.0,True,0.9473748846816548,0.489261770865053,0.06366460431473715,0.5029302513001739,0.8265992679100578,1.224039435308397,0.6570527498075242,0.5474654553782732,0.011039488996391844,0.05039570667844706,1.0117901011189614,0.5055197444981959,0.4985348617695772,0.5055197444981959,0.6902633474467682,0.05262511531834524,0.4525345446217269,0.9363353956852628,0.5,0.4970697486998261,0.0235869211501228,0.6186653501793438,0.5720858420787975,11.473774194717407,1.5037753582000732,1730542499.9932833,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5416417121887207,0.0030562877655029297,8.821487426757812e-06,2.86102294921875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.9532110960517516,0.4923836762271338,0.06408875420955132,0.5045788062207852,0.7300641824814148,1.395061589375917,0.6598620503166042,0.5780132379630618,0.017299850261302874,0.08259204418384702,1.018484498758952,0.5086499251306514,0.49771054888918836,0.5086499251306514,0.6935200912174059,0.04678890394824842,0.4219867620369382,0.9359112457904487,0.5,0.4954211937792148,0.03779986768701005,0.6146454786360284,0.5561818529371384,11.473774194717407,1.5037753582000732,1730542499.9932833,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5416417121887207,0.0030562877655029297,8.821487426757812e-06,2.86102294921875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.9506174848874708,0.49163513621575666,0.06641670852775002,0.5045202702463935,0.7435254803675853,1.3694837122467642,0.6591895354021003,0.5735505510301868,0.017034193415220722,0.07807082127658038,1.0182460350038594,0.5085170967076104,0.49773981869393047,0.5085170967076104,0.6925357683010847,0.049382515112529224,0.4264494489698131,0.9335832914722499,0.5,0.49547972975360655,0.0364674302592108,0.6981494936670565,0.6213402819829689,11.321886539459229,1.5406861305236816,1730542514.467712,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5933363437652588,0.003142833709716797,9.059906005859375e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.954927468469055,0.493781273431164,0.06609217511733477,0.5055641811809569,0.6819647174711206,1.4993549764775307,0.6611158972383762,0.5945427924930121,0.021019643586389636,0.10010697367396904,1.0225071929224179,0.5105098217931949,0.4972178232703511,0.5105098217931948,0.6948216488306634,0.04507253153094504,0.4054572075069879,0.9339078248826652,0.5,0.4944358188190431,0.04587170050411177,0.697310442960678,0.6076205378281334,11.321886539459229,1.5406861305236816,1730542514.467712,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5933363437652588,0.003142833709716797,9.059906005859375e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.8494177302094484,0.4641450916282221,0.16993059814617667,0.5057601895204328,0.8861398208050713,1.15479438561658,0.6340151591288857,0.530183387768763,0.019348328355625055,0.035943577289195616,1.0233092899369787,0.5096741641778125,0.49711980967252273,0.5096741641778125,0.6554400599694425,0.15058226979055156,0.4698166122312371,0.8300694018538233,0.5,0.4942398104795672,0.026371350660653436,0.631050626258482,0.5909816849923017,11.808815240859985,1.5325608253479004,1730542529.3937294,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5664560794830322,0.003181934356689453,7.867813110351562e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.8468729470114406,0.4629025448745841,0.170515681133516,0.5051864326593443,0.8980232901199213,1.1369005571471227,0.6328549314462627,0.5268639248029552,0.017388628144956453,0.03205035746229945,1.0209631788684308,0.5086943140724782,0.4974067139114331,0.5086943140724782,0.6540861739988207,0.15312705298855944,0.47313607519704476,0.829484318866484,0.5,0.49481356734065574,0.02360745110817472,0.6211806476219736,0.5690045081732955,11.808815240859985,1.5325608253479004,1730542529.3937294,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5664560794830322,0.003181934356689453,7.867813110351562e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.13895019061280928,0.11897614307188752,0.8321172041284522,0.45285284416411087,1.0347698678926391,0.7998511617381904,0.2126517956768342,0.49145606870799363,-0.02893260525873842,-0.0556910871278955,0.8276618809656012,0.48553369737063073,0.5236262128076843,0.4855336973706308,0.25084654475626333,0.8610498093871908,0.5085439312920064,0.16788279587154775,0.5,0.5471471558358891,-0.04014085500212236,0.7290442024537435,0.6463972543133084,11.26678729057312,1.4386496543884277,1730542543.719493,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.6018705368041992,0.0030663013458251953,7.62939453125e-06,1.430511474609375e-06,1.9073486328125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.10057350512840241,0.08608714594742468,0.8317244807973437,0.3740891579526692,1.081399568772282,0.5526834436137104,0.1585271426305822,0.4804459532918286,-0.06770201407425391,-0.14546488875550212,0.5976716375914461,0.4661489929628731,0.5639864457928421,0.46614899296287304,0.19396767216686525,0.8994264948715975,0.5195540467081714,0.16827551920265627,0.5,0.6259108420473307,-0.09923842978319827,0.7228621722429587,0.6280283643482197,11.26678729057312,1.4386496543884277,1730542543.719493,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.6018705368041992,0.0030663013458251953,7.62939453125e-06,1.430511474609375e-06,1.9073486328125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.3163810125524065,0.2388046866362072,0.6751473892370531,0.49339429663190465,1.0125477760050494,0.961852606273599,0.38554049595121626,0.4968826141285557,-0.008471598210540332,-0.009723089239539684,0.9739217173269932,0.4957642008947298,0.5033029958176093,0.49576420089472983,0.3950956683589234,0.6836189874475935,0.5031173858714443,0.3248526107629469,0.5,0.5066057033680953,-0.009075797783258982,0.5649713871908578,0.5343900207168959,11.483961343765259,1.4174449443817139,1730542558.1908996,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5501115322113037,0.003061056137084961,8.106231689453125e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.28543273299755567,0.21566255631700745,0.6764845141778281,0.46873071334502886,1.0562950844054435,0.8352633834925567,0.354806611746573,0.48631152580376835,-0.03808275282461626,-0.044957760851202844,0.8822846061670465,0.4809586235876918,0.5156499603536013,0.48095862358769187,0.3657746417535877,0.7145672670024443,0.5136884741962316,0.32351548582217193,0.5,0.5312692866549711,-0.04137771494469655,0.5574329393193729,0.5186275052586943,11.483961343765259,1.4174449443817139,1730542558.1908996,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056133270263671875,4.5299530029296875e-06,3.0994415283203125e-06,1.5501115322113037,0.003061056137084961,8.106231689453125e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
