,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,accuracy,miss_rate,negative_predictive_value,threat_score,fall_out,prevalence_threshold,diagnostic_odds_ratio,fowlkes_mallows_index,informedness,f1_score,false_discovery_rate,recall,markedness,precision,negative_likelyhood_ratio,balanced_accuracy,prevalence,false_omission_rate,positive_likelyhood_ratio,matthews_correlation_coefficient,specificity,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005918508063,1.0,True,0.49496927186868617,0.03234314300658503,0.4079040034671434,0.4892794138111106,0.9777183132560426,0.5012930055474702,0.6818258645032782,0.6937766743432744,-0.010061456262627666,0.6570686592102014,0.5025859938012207,0.967656856993415,-0.09468199033407743,0.49741400619877923,1.451557208313963,0.49496927186868617,0.5,0.5920959965328566,0.9897092484346329,-0.030864845773223168,0.022281686743957394,0.4837691512471266,0.4817385282762043,6.026176452636719,1.4809296131134033,1730541140.071713,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.6193301677703857,0.003169536590576172,8.58306884765625e-06,2.384185791015625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.4969608371162576,0.02866341936896677,0.44069754013165496,0.491215362789055,0.977414906398518,0.5007797736899164,0.783041326718266,0.6958113599105937,-0.0060783257674847935,0.6588121005812646,0.5015595435867377,0.9713365806310332,-0.060862003455082636,0.49844045641326234,1.2691299790356378,0.4969608371162576,0.5,0.559302459868345,0.993781222561991,-0.019233800556878414,0.022585093601482,0.49621520795413043,0.491536622966749,6.026176452636719,1.4809296131134033,1730541140.071713,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.6193301677703857,0.003169536590576172,8.58306884765625e-06,2.384185791015625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.5017356012053032,0.20040941249233368,0.5042929607155666,0.44517674835097754,0.7961193850970598,0.49945616581698477,1.02175622917578,0.6329810282407985,0.0034712024106065,0.6160862314716142,0.498912332920706,0.7995905875076663,0.005380627794860704,0.501087667079294,0.9829743381328379,0.5017356012053032,0.5,0.4957070392844333,1.0043601531071666,0.004321718196747315,0.20388061490294024,0.48899222383492763,0.48073331181909273,5.213212728500366,1.5240614414215088,1730541148.2786782,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.4529483318328857,0.0030143260955810547,9.298324584960938e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.5012887589443717,0.2013807920170927,0.5031794587254422,0.4446551616187912,0.7960416900941637,0.4995959141571589,1.0160785851678376,0.6324199751758698,0.002577517888743497,0.6155865751665445,0.4991918288421533,0.7986192079829073,0.0039876298832890456,0.5008081711578467,0.9873625257537505,0.5012887589443717,0.5,0.49682054127455777,1.0032379182156135,0.0032059612221400635,0.20395830990583627,0.5054414750795846,0.4955531122703929,5.213212728500366,1.5240614414215088,1730541148.2786782,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.4529483318328857,0.0030143260955810547,9.298324584960938e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.48873671758306064,0.13625431218479345,0.4549436370039568,0.4579114635239744,0.8862722526490853,0.5032181810133938,0.8134575995279322,0.6529270206227406,-0.022526564833878715,0.6281745839588074,0.5064360954002284,0.8637456878152066,-0.05149245839627159,0.4935639045997716,1.198074483655879,0.48873671758306064,0.5,0.5450563629960432,0.9745827935303781,-0.03405801231016592,0.11372774735091475,0.4829140196570205,0.4814512407821081,6.094142198562622,1.5100469589233398,1730541157.440143,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.539597749710083,0.003103017807006836,8.58306884765625e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.4888391403933452,0.13581536567610275,0.45523282728168357,0.4580873171741763,0.8865063535372069,0.5031876879820165,0.8146054850605984,0.6531332476169786,-0.02232171921330961,0.628340033931528,0.5063751168447439,0.8641846343238972,-0.05114228956306044,0.49362488315525604,1.1966781393408426,0.4888391403933452,0.5,0.5447671727183164,0.9748205761591614,-0.03378733235330078,0.11349364646279318,0.49979123416954435,0.4927976450255493,6.094142198562622,1.5100469589233398,1730541157.440143,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.539597749710083,0.003103017807006836,8.58306884765625e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.5003073922850825,0.0753188778812941,0.5020323115526273,0.4805869236800042,0.924066337548541,0.4999168647151967,1.0088331573757456,0.6800693408117905,0.0006147845701649501,0.6491843416872867,0.4998337294347721,0.9246811221187059,0.0021985821178551745,0.5001662705652279,0.9919036623505691,0.5003073922850825,0.5,0.49796768844737266,1.0006653035016901,0.0011626067100692083,0.07593366245145902,0.49599426291015164,0.4804691671624744,6.166919469833374,1.537318468093872,1730541166.8287294,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.6618897914886475,0.004405498504638672,1.2159347534179688e-05,3.337860107421875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.5019323986008606,0.07257887914962624,0.51296715516899,0.48213879128385323,0.9235563236486526,0.49947800533368747,1.0576571361079379,0.6816735121206808,0.0038647972017211707,0.6505987079202166,0.4989560118052203,0.9274211208503738,0.01401114336376974,0.5010439881947797,0.949442551873645,0.5019323986008606,0.5,0.48703284483100995,1.0041846903136917,0.00735868382696328,0.07644367635134736,0.5058430657682033,0.4968764713988513,6.166919469833374,1.537318468093872,1730541166.8287294,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.6618897914886475,0.004405498504638672,1.2159347534179688e-05,3.337860107421875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.4876906220569316,0.10830269891166111,0.4358841958020401,0.46531849370201034,0.9163160569744757,0.5034042747820323,0.7519258421955712,0.6631574222592732,-0.024618755886136823,0.635109016506603,0.5068082339592099,0.8916973010883389,-0.07092403815716986,0.49319176604079007,1.294187331476815,0.4876906220569316,0.5,0.5641158041979599,0.973132899179543,-0.04178590171158711,0.08368394302552429,0.5255254777890827,0.5220724738781475,6.396856307983398,1.596606731414795,1730541176.3825583,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.5456669330596924,0.0030853748321533203,9.059906005859375e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.4869836826249845,0.10922934878463075,0.43235678585159554,0.4647167801398731,0.9168032859654003,0.5036006804834582,0.7400423397639294,0.6625487885878567,-0.026032634750031036,0.6345483119207455,0.5072009875265832,0.8907706512153692,-0.07484420167498762,0.49279901247341684,1.3129046026890514,0.4869836826249845,0.5,0.5676432141484045,0.9716049940608377,-0.044140590904094335,0.0831967140345997,0.5224819814882141,0.5138430381182943,6.396856307983398,1.596606731414795,1730541176.3825583,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0049250125885009766,4.0531158447265625e-06,2.384185791015625e-06,1.5456669330596924,0.0030853748321533203,9.059906005859375e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
