,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,specificity,balanced_accuracy,f1_score,accuracy,threat_score,fall_out,fowlkes_mallows_index,matthews_correlation_coefficient,diagnostic_odds_ratio,negative_predictive_value,prevalence,miss_rate,positive_likelyhood_ratio,informedness,recall,prevalence_threshold,negative_likelyhood_ratio,false_omission_rate,false_discovery_rate,markedness,precision,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005918508063,1.0,True,0.07090515375902665,0.5072035587962651,0.6568982883532769,0.5072035587962651,0.48909050048628133,0.9290948462409734,0.6894784058766696,0.02949611448949628,1.27446293147582,0.5565414319725916,0.5,0.0564980361664964,1.0155066166288835,0.014407117592530216,0.9435019638335036,0.4980765572814256,0.7968114187934311,0.4434585680274084,0.49615317149024796,0.0603882604823438,0.503846828509752,0.6901182341838265,0.6430907304729457,36.928218364715576,6.442068576812744,1730543512.7796423,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.5682597160339355,0.0036628246307373047,1.0251998901367188e-05,4.291534423828125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.0710844514414569,0.5088097253212279,0.6583559574262255,0.5088097253212279,0.4907083671487505,0.9289155485585431,0.691168391196599,0.03645596880249198,1.3547697267038545,0.5707327504276754,0.5,0.05346500079900096,1.018967763721683,0.017619450642455847,0.946534999200999,0.4976512524600522,0.7521335498105826,0.42926724957232465,0.49530260857490893,0.07543014185276631,0.5046973914250911,0.7323462269551175,0.6800486809405158,36.928218364715576,6.442068576812744,1730543512.7796423,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.5682597160339355,0.0036628246307373047,1.0251998901367188e-05,4.291534423828125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.30762014747431554,0.5134035613116292,0.5964478917985654,0.5134035613116292,0.42495600150027674,0.6923798525256845,0.6053284579609137,0.029413784432123224,1.1378759542909556,0.5227783917393047,0.5,0.2808130248510572,1.0387173637786693,0.02680712262325846,0.7191869751489428,0.49525181174648847,0.9128564144989997,0.4772216082606952,0.4905044798100634,0.03227391192924145,0.5094955201899366,0.5505409760421901,0.5657754410430543,31.940026998519897,6.279873847961426,1730543552.497838,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.4778714179992676,0.0030527114868164062,9.5367431640625e-06,1.9073486328125e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.30808293038038365,0.5097995987239659,0.5920832137980455,0.5097995987239659,0.4205385002868457,0.6919170696196164,0.6006049945428499,0.02141967630504632,1.098189017459371,0.516426661640037,0.5,0.2884837329324519,1.028325934289649,0.019599197447931704,0.7115162670675481,0.4965085350657363,0.9363833711146118,0.4835733383599629,0.49301741061168036,0.02340925102835678,0.5069825893883196,0.6010030028783437,0.5951029973775228,31.940026998519897,6.279873847961426,1730543552.497838,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.4778714179992676,0.0030527114868164062,9.5367431640625e-06,1.9073486328125e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.058366063891726896,0.4825903515073319,0.6367077482164692,0.4825903515073319,0.4670368715024197,0.9416339361082731,0.6669831095497382,-0.06578642707745119,0.6031830589332556,0.38512382170455595,0.5,0.09318536087706308,0.9630224701445632,-0.034819296985336146,0.9068146391229369,0.5047096774516521,1.596567502820276,0.614876178295444,0.5094185192522818,-0.12429469754772593,0.4905814807477182,0.6225976632321919,0.5850924648131854,29.7321617603302,6.249805212020874,1730543590.0110123,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.5180587768554688,0.003018617630004883,9.298324584960938e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.05893667769485266,0.48262172927480307,0.6365921871898348,0.48262172927480307,0.46691252698466906,0.9410633223051473,0.6668041189310862,-0.06545454275817415,0.6058064207097918,0.38614110940923285,0.5,0.09369321914524653,0.9630667345899134,-0.03475654145039386,0.9063067808547535,0.5047039325823738,1.5897268527816828,0.6138588905907671,0.5094070325677955,-0.12326592315856266,0.4905929674322045,0.6603581638829711,0.6133895382112887,29.7321617603302,6.249805212020874,1730543590.0110123,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.5180587768554688,0.003018617630004883,9.298324584960938e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.12514158170531325,0.4819086138642429,0.6181427069971223,0.48190861386424283,0.4473274556838302,0.8748584182946868,0.6406895798075282,-0.05164389320596122,0.7436318148465911,0.43684629171465905,0.5,0.16132435397682754,0.9586415681499145,-0.03618277227151423,0.8386756460231725,0.5052795574975681,1.2891346887137678,0.563153708285341,0.5105579378388134,-0.07371164612415426,0.48944206216118663,0.6756781635926151,0.6990361779549409,29.5133318901062,6.213170051574707,1730543627.3337889,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.575049638748169,0.0030670166015625,8.821487426757812e-06,1.1920928955078125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.1254372310769941,0.48180201348240126,0.6179508689405699,0.48180201348240126,0.44712655654062794,0.8745627689230059,0.6404512165556472,-0.0518875865970293,0.7428451516547474,0.4366520731393253,0.5,0.1618332041121916,0.958383806939303,-0.03639597303519748,0.8381667958878084,0.5053131684623879,1.2901528734547516,0.5633479268606747,0.5106251371445257,-0.07397306400520043,0.48937486285547427,0.7159619637224762,0.7409346572667928,29.5133318901062,6.213170051574707,1730543627.3337889,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.575049638748169,0.0030670166015625,8.821487426757812e-06,1.1920928955078125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.032960886828591995,0.4924527980835885,0.6522439089916032,0.4924527980835885,0.4839480328399715,0.967039113171408,0.6871887922697991,-0.038281983686973386,0.6751890091191538,0.40684327315563107,0.5,0.04805529066141501,0.9843911134231987,-0.015094403832823011,0.951944709338585,0.5019664883492804,1.4579489596660165,0.5931567268443689,0.5039329158630113,-0.09708964270738019,0.49606708413698875,0.7357850072922497,0.6377470681795986,36.307868242263794,6.380612373352051,1730543671.5229814,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.4801218509674072,0.003110647201538086,1.0013580322265625e-05,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.032853735477417864,0.4928341451577583,0.6526214656857727,0.4928341451577583,0.4843638584593722,0.9671462645225821,0.6876416908988693,-0.03655952142091007,0.6859507310955795,0.41047066218064854,0.5,0.04718544516190126,0.9851814454439753,-0.014331709684483385,0.9528145548380987,0.5018661721096506,1.43622770671951,0.5895293378193515,0.5037322922269986,-0.09326163004635002,0.49626770777300144,0.7358655599264533,0.6355831535552684,36.307868242263794,6.380612373352051,1730543671.5229814,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00601506233215332,5.245208740234375e-06,3.0994415283203125e-06,1.4801218509674072,0.003110647201538086,1.0013580322265625e-05,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
