,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,markedness,specificity,precision,accuracy,balanced_accuracy,prevalence,fowlkes_mallows_index,prevalence_threshold,recall,informedness,diagnostic_odds_ratio,fall_out,f1_score,negative_predictive_value,positive_likelyhood_ratio,matthews_correlation_coefficient,negative_likelyhood_ratio,false_discovery_rate,miss_rate,false_omission_rate,threat_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005918508063,1.0,True,0.2613927183216975,0.12200551456580747,0.5215528762365041,0.5395515105870934,0.5395515105870934,0.5,0.7065245624961575,0.4892185512847538,0.9570975066083792,0.07910302117418677,3.0999973636834226,0.8779944854341926,0.6751791541824562,0.7398398420851933,1.090095123017849,0.14379483207744098,0.35164388711692196,0.47844712376349585,0.04290249339162078,0.26016015791480673,0.509638081491543,0.7424341559782993,0.6687259092919935,33.76891279220581,6.861618995666504,1730543003.2825727,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.5922553539276123,0.0031995773315429688,8.106231689453125e-06,2.6226043701171875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.2719523769482528,0.12219979758642527,0.5221611869130274,0.5407105781807636,0.5407105781807636,0.5,0.7077203990350526,0.4889139593105278,0.959221358775102,0.08142115636152725,3.2746199229019717,0.8778002024135747,0.6762171792400479,0.7497911900352253,1.0927559097590247,0.14880415654944815,0.3337046544292149,0.4778388130869726,0.04077864122489805,0.2502088099647747,0.5108218422504137,0.7717370970327005,0.6888275039536692,33.76891279220581,6.861618995666504,1730543003.2825727,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.5922553539276123,0.0031995773315429688,8.106231689453125e-06,2.6226043701171875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.22195353560481168,0.07315418515890812,0.5114258961500558,0.521675410022838,0.521675410022838,0.5,0.7044030688737336,0.49428630589849826,0.9701966348867679,0.04335082004567603,2.5693670163849136,0.9268458148410919,0.6697842035265348,0.7105276394547557,1.0467724181859834,0.09809111978413607,0.407404785501912,0.48857410384994415,0.029803365113232116,0.2894723605452442,0.5035154486228471,0.7544755599282266,0.690235609902465,33.80872178077698,6.533035755157471,1730543045.1563106,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.5108184814453125,0.0031113624572753906,9.5367431640625e-06,2.1457672119140625e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.24413071690883603,0.07306419824693272,0.5121847901923652,0.5231532720568652,0.5231532720568652,0.5,0.7060311088925977,0.49390670010263676,0.9732423458667977,0.046306544113730475,2.867001548578585,0.9269358017530673,0.6711603883130586,0.731945926716471,1.0499565817030188,0.10632426727730435,0.3662211421628185,0.4878152098076348,0.026757654133202302,0.268054073283529,0.5050725327649066,0.7984670387341559,0.7245233179326261,33.80872178077698,6.533035755157471,1730543045.1563106,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.5108184814453125,0.0031113624572753906,9.5367431640625e-06,2.1457672119140625e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.2624406769005434,0.09217995506376078,0.5162092954031576,0.5304163001509958,0.5304163001509958,0.5,0.7071262259942223,0.4918932217533823,0.9686526452382309,0.06083260030199167,3.137645643818806,0.9078200449362392,0.6735003245794613,0.7462313814973858,1.0670095363517385,0.12635247841207903,0.3400669347266025,0.48379070459684237,0.031347354761769086,0.25376861850261423,0.5077274703184094,0.49076163377328774,0.47688130263314293,31.9216468334198,6.52166223526001,1730543085.1354644,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.5190281867980957,0.003062725067138672,9.5367431640625e-06,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.27714166673820784,0.09216032102082729,0.516795955172984,0.5315560987446807,0.5315560987446808,0.5,0.7083671381611073,0.49159965197190153,0.9709518764685342,0.06311219748936159,3.393238929649759,0.9078396789791727,0.6745551789820592,0.7603457115652238,1.0695191000687791,0.13225361849005335,0.3151912147191981,0.48320404482701595,0.029048123531465797,0.23965428843477624,0.5089273942494272,0.49667617712693607,0.4830529117922699,31.9216468334198,6.52166223526001,1730543085.1354644,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.5190281867980957,0.003062725067138672,9.5367431640625e-06,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.15137462290137016,0.10766498013972108,0.5127602401452311,0.5233692117958738,0.5233692117958738,0.5,0.6939160787721165,0.49361884075401347,0.9390734434520265,0.046738423591747624,1.85968527819544,0.892335019860279,0.6633260129154642,0.638614382756139,1.0523776637154347,0.08411308605802839,0.5658901944616228,0.48723975985476886,0.06092655654797352,0.3613856172438609,0.49625115721917107,0.5251716425503664,0.49764823785681356,33.21918559074402,6.531601667404175,1730543126.51485,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.6100521087646484,0.003190279006958008,9.5367431640625e-06,2.1457672119140625e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.1552005231126623,0.10748338373944283,0.512987495317203,0.5238013506075366,0.5238013506075366,0.5,0.6944562289814543,0.4935051566386197,0.9401193174756305,0.04760270121507326,1.8906940381561321,0.8925166162605571,0.6637770186270515,0.6422130277954594,1.0533353669251762,0.08595326712903442,0.5571157181795654,0.487012504682797,0.05988068252436951,0.35778697220454064,0.49675617608749023,0.5236461853593908,0.5100511891622891,33.21918559074402,6.531601667404175,1730543126.51485,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.6100521087646484,0.003190279006958008,9.5367431640625e-06,2.1457672119140625e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005918508063,1.0,True,0.31725828379297183,0.11480121595658185,0.5229259435286312,0.542538505415061,0.542538505415061,0.5,0.7123077884715557,0.48853099696876384,0.9702757948735401,0.08507701083012198,4.233412882021703,0.8851987840434181,0.679589867153748,0.7943323402643406,1.0961106277637511,0.16429055495128309,0.2589189049853068,0.4770740564713688,0.0297242051264599,0.20566765973565937,0.5146808936469129,0.5255966425817522,0.5017733667864178,32.710747957229614,6.442637205123901,1730543167.1599653,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.4704198837280273,0.003026247024536133,9.775161743164062e-06,1.6689300537109375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005918508063,1.0,True,0.33002692915396237,0.11443469202952161,0.523410463081081,0.5434996833588817,0.5434996833588817,0.5,0.7134777689282782,0.4882883463686868,0.9725646746882417,0.08699936671776332,4.5808438444089425,0.8855653079704784,0.6805601428830275,0.8066164660728813,1.0982416157619665,0.16944655156185046,0.23974657357124352,0.47658953691891903,0.027435325311758296,0.19338353392711874,0.5157947436649958,0.5450392728962776,0.5151283521272199,32.710747957229614,6.442637205123901,1730543167.1599653,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.00579524040222168,4.76837158203125e-06,2.6226043701171875e-06,1.4704198837280273,0.003026247024536133,9.775161743164062e-06,1.6689300537109375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
