,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,threat_score,accuracy,fowlkes_mallows_index,negative_likelyhood_ratio,false_omission_rate,false_discovery_rate,balanced_accuracy,prevalence,matthews_correlation_coefficient,negative_predictive_value,miss_rate,positive_likelyhood_ratio,prevalence_threshold,informedness,markedness,specificity,fall_out,diagnostic_odds_ratio,f1_score,recall,precision,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000008684701898,1.0,True,0.1720438784024516,0.49317763127184067,0.3193903872498392,1.0175896239551394,0.5043590687983065,0.515687131036032,0.49317763127184067,0.5,-0.016538595277001272,0.4956409312016935,0.7893712391210657,0.9391602772614622,0.5078454966608797,-0.013644737456318667,-0.02004619983433864,0.775726501664747,0.224273498335253,0.9229263498296689,0.2935792448947477,0.2106287608789343,0.4843128689639679,0.5406829772327233,0.523204301509498,4.023604393005371,0.9736566543579102,1730547219.6057477,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1959302425384521,0.004067659378051758,1.1444091796875e-05,2.86102294921875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.13005763954370467,0.46717168427497624,0.25699966058179585,1.0847153742716271,0.5203182111373899,0.5854256593369342,0.4671716842749762,0.5,-0.08332338406374448,0.47968178886261015,0.8406827942281221,0.7081588141056572,0.5430291623912324,-0.06565663145004763,-0.1057438704743241,0.7750261627780745,0.22497383722192554,0.6528521959792236,0.23017877140535845,0.15931720577187794,0.4145743406630658,0.517216357335132,0.49453056864599004,4.023604393005371,0.9736566543579102,1730547219.6057477,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1959302425384521,0.004067659378051758,1.1444091796875e-05,2.86102294921875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.16686885842533059,0.47813140156823836,0.30761486176729663,1.058533899363942,0.5142173756239885,0.5473510268458427,0.47813140156823836,0.5,-0.05189247863993049,0.4857826243760115,0.7909485963908589,0.8269811345062892,0.523728836140102,-0.04373719686352329,-0.061568402469831196,0.7472113995273356,0.2527886004726644,0.7812514412653297,0.2860113323283256,0.20905140360914107,0.4526489731541573,0.5690081993409014,0.5450908978560184,4.093421697616577,1.135542869567871,1730547226.0037527,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1478381156921387,0.003056764602661133,8.106231689453125e-06,1.6689300537109375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.12440196360335766,0.4512460430155153,0.2437098319486254,1.1306092773011487,0.530650687268806,0.6190956053164745,0.4512460430155153,0.5,-0.12083645399703538,0.46934931273119396,0.844069842675942,0.6152594064834488,0.5604172589773241,-0.0975079139689694,-0.1497462925852806,0.7465619287069726,0.2534380712930274,0.5441839358970416,0.22127667441043622,0.15593015732405804,0.3809043946835255,0.5463184217759584,0.5139727836533661,4.093421697616577,1.135542869567871,1730547226.0037527,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1478381156921387,0.003056764602661133,8.106231689453125e-06,1.6689300537109375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.45483372500114344,0.4888911927448079,0.6487961943557923,1.1778214139869496,0.5408255270255174,0.5064290964835676,0.4888911927448079,0.5,-0.03240192909316028,0.45917447297448255,0.14716102831101185,0.974610082524055,0.5032146811205976,-0.022217614510384176,-0.04725462350908505,0.12494341380062769,0.8750565861993723,0.8274684692860015,0.6252724516690538,0.8528389716889881,0.4935709035164324,0.6086706553959811,0.5944008144333005,4.7061767578125,1.1315839290618896,1730547232.9959393,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1299505233764648,0.0032002925872802734,8.106231689453125e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.4552278013724787,0.4889530112163412,0.6493019724162545,1.178444919861116,0.5409569501239656,0.5063845165435271,0.4889530112163412,0.5,-0.03234132499690601,0.4590430498760344,0.145907967814355,0.9747839188010468,0.5031923884053678,-0.02209397756731757,-0.047341466667492726,0.12381399024703742,0.8761860097529626,0.8271781755535325,0.6256447285340985,0.854092032185645,0.4936154834564729,0.6045154966377728,0.5716650110623294,4.7061767578125,1.1315839290618896,1730547232.9959393,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1299505233764648,0.0032002925872802734,8.106231689453125e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.47750134527349436,0.49087293100771745,0.6787945962674276,1.3566429116823624,0.5756675756675756,0.5048564270906319,0.49087293100771745,0.5,-0.03833922609309984,0.42433242433242435,0.06943737305422182,0.9807611557265166,0.5024282708171529,-0.0182541379845651,-0.08052400275820759,0.05118323506965666,0.9488167649303434,0.7229324292199207,0.6463633306338629,0.9305626269457782,0.49514357290936806,0.7484225952617733,0.6762877870207517,4.582278728485107,0.9825863838195801,1730547239.8143563,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.2284178733825684,0.003222227096557617,8.821487426757812e-06,1.6689300537109375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.48035008444628635,0.49363191468111806,0.6818432344089761,1.249150526673463,0.5553876949805492,0.5033782460763739,0.49363191468111806,0.5,-0.027357870037518425,0.4446123050194508,0.0638545479810152,0.9865777033365825,0.501689142315823,-0.012736170637763888,-0.05876594105692312,0.05111837734325131,0.9488816226567487,0.7897988931437092,0.6489682264934752,0.9361454520189848,0.49662175392362606,0.7511003242956136,0.6619508593160646,4.582278728485107,0.9825863838195801,1730547239.8143563,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.2284178733825684,0.003222227096557617,8.821487426757812e-06,1.6689300537109375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.16204097382182867,0.4966715916110213,0.30934655680173817,1.008334771847174,0.5020750454466085,0.5084054347468501,0.4966715916110213,0.5,-0.008352642479650674,0.4979249545533915,0.8053369606398881,0.9669341270868383,0.5042030143429753,-0.006656816777957375,-0.010480480193458597,0.7986801438619308,0.20131985613806924,0.9589415679035906,0.27889029297976164,0.19466303936011187,0.49159456525315,0.5104497552314978,0.5012319672448898,4.269484519958496,1.1666252613067627,1730547246.4202414,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1465883255004883,0.0039594173431396484,1.0728836059570312e-05,2.6226043701171875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.11652913770606754,0.4692994454793759,0.2396028151805987,1.076885851154647,0.5185098885217746,0.5899262274230476,0.46929944547937597,0.5,-0.0815971677151692,0.4814901114782254,0.8600019974901103,0.6951272100043123,0.5453327204966091,-0.06140110904124807,-0.10843611594482216,0.7986008884488621,0.20139911155113788,0.6454975792085953,0.2087346111638055,0.13999800250988975,0.41007377257695243,0.489013143626079,0.4750381070761443,4.269484519958496,1.1666252613067627,1730547246.4202414,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006328582763671875,5.4836273193359375e-06,3.0994415283203125e-06,1.1465883255004883,0.0039594173431396484,1.0728836059570312e-05,2.6226043701171875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
