,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,fowlkes_mallows_index,fall_out,accuracy,f1_score,prevalence_threshold,precision,informedness,balanced_accuracy,positive_likelyhood_ratio,negative_likelyhood_ratio,matthews_correlation_coefficient,miss_rate,prevalence,negative_predictive_value,markedness,diagnostic_odds_ratio,specificity,false_discovery_rate,threat_score,recall,false_omission_rate,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000008684701898,1.0,True,0.5285427342287611,0.49137881434407227,0.5221275108260119,0.5284957998720012,0.4892222397866725,0.5215455095111855,0.044255021652023885,0.5221275108260119,1.0900629419913002,0.9129902117723393,0.044271176568183274,0.46436616400390374,0.5,0.5227418278703706,0.04428733738155621,1.193948114597219,0.5086211856559277,0.4784544904888145,0.3591534430048042,0.5356338359960963,0.4772581721296294,0.5009649472953887,0.4987515870770563,4.087369203567505,1.0988075733184814,1730546062.4427977,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1675751209259033,0.0032339096069335938,1.0251998901367188e-05,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.5065775644507048,0.49067041847417814,0.507486245543643,0.5065767006214531,0.49624281435887846,0.5075139470013947,0.014972491087285933,0.507486245543643,1.0305143544904243,0.9706035313275303,0.014972592838005061,0.49435709043853593,0.5,0.507458747588021,0.014972694589415747,1.0617253298892821,0.5093295815258219,0.49248605299860526,0.339205033718339,0.5056429095614641,0.492541252411979,0.493160445729511,0.48835636366143503,4.087369203567505,1.0988075733184814,1730546062.4427977,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1675751209259033,0.0032339096069335938,1.0251998901367188e-05,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6518967617399417,0.8611143980259695,0.4962693817910224,0.628895949915585,0.5010877963738593,0.49782441754976176,-0.007461236417955153,0.4962693817910224,0.9913353714267703,1.0537221735867937,-0.010668631462222938,0.1463468383919858,0.5,0.4869207787017831,-0.015254803748455226,0.9407938793319085,0.1388856019740306,0.5021755824502383,0.4586785006410458,0.8536531616080142,0.5130792212982169,0.4905477687356771,0.4900031648773195,4.256121635437012,1.1457390785217285,1730546069.0168986,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.14552903175354,0.0030906200408935547,9.775161743164062e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6501428135997032,0.8614132676767019,0.4946415156607567,0.627331808014807,0.5015648930807087,0.4968702444962971,-0.010716968678486594,0.4946415156607567,0.9875588534787825,1.0773304088986368,-0.01526485093842514,0.1493037010017847,0.5,0.4813870704998643,-0.02174268500383869,0.9166722161758819,0.13858673232329813,0.5031297555037029,0.45701635083970393,0.8506962989982153,0.5186129295001357,0.47867594454515316,0.4769158627445783,4.256121635437012,1.1457390785217285,1730546069.0168986,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.14552903175354,0.0030906200408935547,9.775161743164062e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6466564715189215,0.7935388059199207,0.5141804744230379,0.6284986136707011,0.49561061385664473,0.5087780957865812,0.028360948846075873,0.5141804744230379,1.0357398385995729,0.862633029066588,0.035982610403909626,0.17810024523400358,0.5,0.5368744054222666,0.045652501208847784,1.2006725962258773,0.20646119408007937,0.4912219042134188,0.45825590840474584,0.8218997547659964,0.4631255945777334,0.5282688025609694,0.5192204984864731,3.074136257171631,1.103881597518921,1730546074.3390543,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1217684745788574,0.0033261775970458984,1.0013580322265625e-05,1.9073486328125e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.642819958495895,0.7941282475498178,0.5107213110482915,0.6250305748063596,0.4966696301844323,0.5066604441375143,0.021442622096582875,0.5107213110482914,1.0270014599817365,0.8958447584897702,0.027052398231662528,0.1844291303535992,0.5,0.5274693487016311,0.03412979283914552,1.1464056135273621,0.20587175245018216,0.4933395558624857,0.4545777988614801,0.8155708696464008,0.47253065129836896,0.5216823874475999,0.5194228914155783,3.074136257171631,1.103881597518921,1730546074.3390543,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1217684745788574,0.0033261775970458984,1.0013580322265625e-05,1.9073486328125e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6606549925946574,0.7839194234232669,0.5293178933975711,0.6415864059194695,0.4909843581832599,0.518025423078335,0.05863578679514214,0.5293178933975711,1.074798231863025,0.7286392524303549,0.07522792096651973,0.15744478978159082,0.5,0.5784896985267832,0.0965151216051181,1.4750759422829156,0.21608057657673305,0.481974576921665,0.47230564293177596,0.8425552102184092,0.4215103014732168,0.5055010926633631,0.4748951319488939,4.085574150085449,1.0913214683532715,1730546080.712635,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1721124649047852,0.0031309127807617188,9.059906005859375e-06,2.384185791015625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6590909284562576,0.7845706916092388,0.5277607701627086,0.6401524739796602,0.49145395645577633,0.5170870952739869,0.05552154032541723,0.5277607701627086,1.0707667784677715,0.7422748987119793,0.0710999242373272,0.159907768065344,0.5,0.5739622379564071,0.09104933323039388,1.4425474717329152,0.2154293083907612,0.4829129047260131,0.4707531261634146,0.840092231934656,0.42603776204359295,0.5100268846879801,0.4784758999701844,4.085574150085449,1.0913214683532715,1730546080.712635,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1721124649047852,0.0031309127807617188,9.059906005859375e-06,2.384185791015625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6500229549409416,0.8013821688065387,0.5144735827938873,0.6310185089698584,0.4955645585237231,0.5088701849349564,0.028947165587774437,0.5144735827938872,1.0361215493862113,0.854256964675146,0.03734137285362579,0.16967066560568678,0.5,0.5392995787804382,0.04816976371539461,1.212892129922785,0.1986178311934613,0.4911298150650436,0.46094013184577454,0.8303293343943132,0.4607004212195618,0.5117357905604378,0.5141722761107478,4.942392587661743,1.0354199409484863,1730546087.8247342,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1132431030273438,0.003188610076904297,8.821487426757812e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6475350075889473,0.8003465211104308,0.5126862333850075,0.6288639678282409,0.4960988639156818,0.5078017972307158,0.025372466770015034,0.5126862333850075,1.031701851761425,0.8729174822741312,0.032538378793797396,0.17428101211955416,0.5,0.5339263525832336,0.041728149813949456,1.1819007783801367,0.1996534788895692,0.49219820276928417,0.45864447660395563,0.8257189878804458,0.4660736474167663,0.5024198324360892,0.5036488345583853,4.942392587661743,1.0354199409484863,1730546087.8247342,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006378889083862305,4.76837158203125e-06,3.0994415283203125e-06,1.1132431030273438,0.003188610076904297,8.821487426757812e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
