,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,false_omission_rate,prevalence_threshold,negative_predictive_value,diagnostic_odds_ratio,false_discovery_rate,markedness,matthews_correlation_coefficient,threat_score,positive_likelyhood_ratio,informedness,negative_likelyhood_ratio,f1_score,accuracy,specificity,precision,miss_rate,prevalence,recall,balanced_accuracy,fowlkes_mallows_index,fall_out,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000008684701898,1.0,True,0.44282090404470614,0.4982401015971796,0.5571790959552938,1.276089804108488,0.4964802468004732,0.0606988491548206,0.02837296642472875,0.49015872802190713,1.0141788247254935,0.013262610987655687,0.7947550567838186,0.6578610973511021,0.5066313054938278,0.06461845432014598,0.5035197531995268,0.051355843332490214,0.5,0.9486441566675098,0.5066313054938278,0.6911302855753014,0.935381545679854,0.5613330440034029,0.514675373275053,22.004576444625854,4.426081418991089,1730548201.6505861,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1770918369293213,0.0046236515045166016,1.3113021850585938e-05,3.0994415283203125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.43560983079396676,0.49806421684642177,0.5643901692060332,1.315853079688695,0.49612849172298235,0.0682616774830509,0.03157765495027946,0.49101124855608014,1.0156068774182774,0.014607732023674602,0.7718239164349184,0.6586284966415693,0.5073038660118373,0.06401955803360125,0.5038715082770177,0.04941182600992666,0.5,0.9505881739900733,0.5073038660118373,0.692079689760272,0.9359804419663987,0.5646728312245269,0.519037960206667,22.004576444625854,4.426081418991089,1730548201.6505861,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1770918369293213,0.0046236515045166016,1.3113021850585938e-05,3.0994415283203125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.471076087372327,0.49889562955869204,0.528923912627673,1.1327631820014752,0.4977912698927388,0.0311326427349341,0.01598563312984909,0.4847700950096126,1.008874121507744,0.008208119970341654,0.8906311023678999,0.6529901115855572,0.5041040599851709,0.07504985556270836,0.5022087301072612,0.06684173559236661,0.5,0.9331582644076334,0.5041040599851708,0.6845730252918628,0.9249501444372916,0.5157099929823511,0.47971063890015964,22.02295207977295,4.346512317657471,1730548229.2170684,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1842479705810547,0.0031752586364746094,8.344650268554688e-06,2.1457672119140625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.46736089524401614,0.498774525326894,0.5326391047559839,1.1509021992680113,0.49754906537693044,0.03509003937905342,0.017888131474520924,0.48541526193896395,1.0098520318642858,0.009118976590284378,0.8774438284213593,0.653575164301644,0.5045594882951422,0.07440650660691565,0.5024509346230696,0.06528753001663123,0.5,0.9347124699833688,0.5045594882951422,0.6853080724367556,0.9255934933930844,0.5432067922469602,0.4921952437666329,22.02295207977295,4.346512317657471,1730548229.2170684,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1842479705810547,0.0031752586364746094,8.344650268554688e-06,2.1457672119140625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.5743228278976611,0.5047223137474349,0.4256771721023389,0.713701806040398,0.509443785099901,-0.08376661299756205,-0.05298636861240563,0.45719216743409574,0.9629251141102879,-0.03351639941334905,1.3491980908000996,0.6274974264226865,0.4832418002933255,0.09598105000103131,0.4905562149000991,0.12949744941438035,0.5,0.8705025505856196,0.4832418002933255,0.6534756585184819,0.9040189499989687,0.5723509522305519,0.5496271389242994,22.550298929214478,4.263831853866577,1730548257.1727638,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1272261142730713,0.0038297176361083984,1.0013580322265625e-05,2.384185791015625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.589112714325869,0.505839878306546,0.410887285674131,0.6656310445013128,0.5116781635163907,-0.10079087784225971,-0.06451892278353413,0.4533239409006249,0.9543534809610197,-0.04130027921437851,1.4337574679618739,0.6238443173511613,0.47934986039281074,0.09521514271198364,0.48832183648360933,0.13651542192636212,0.5,0.8634845780736379,0.47934986039281074,0.6493522733772428,0.9047848572880164,0.6137177465492218,0.5788391676186003,22.550298929214478,4.263831853866577,1730548257.1727638,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1272261142730713,0.0038297176361083984,1.0013580322265625e-05,2.384185791015625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.5209403180284986,0.5008962629826247,0.4790596819715014,0.9130355995230177,0.5017925202056271,-0.022732838234125752,-0.012253316804578696,0.47693922759767565,0.9928555323826165,-0.006604708623139777,1.0874225856048743,0.6458481414613708,0.49669764568843017,0.07554922537971104,0.49820747979437285,0.08215393400285076,0.5,0.9178460659971492,0.4966976456884301,0.6762231698038891,0.924450774620289,0.5453223712501943,0.530030318224201,21.518595933914185,4.33390736579895,1730548284.1643884,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1254889965057373,0.0030698776245117188,9.059906005859375e-06,7.3909759521484375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.5081484834766863,0.5003386372351745,0.4918515165233137,0.9653100651508206,0.5006772741596391,-0.008825757636325426,-0.004698407091347556,0.47908816455096415,0.9972945679998121,-0.0025012050076208547,1.0331339162448225,0.6478155610100638,0.4987493974961896,0.07548775668833509,0.49932272584036086,0.07798896169595593,0.5,0.9220110383040441,0.4987493974961896,0.6785138649289907,0.9245122433116649,0.5488770863964334,0.5357939844756436,21.518595933914185,4.33390736579895,1730548284.1643884,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1254889965057373,0.0030698776245117188,9.059906005859375e-06,7.3909759521484375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.4967867933031765,0.49982632569281166,0.5032132066968236,1.014344304416022,0.4996526514274372,0.0035605552693862563,0.002112915293608131,0.4748467504356746,1.0013903601694916,0.0012538524753000768,0.9872292433741338,0.6439269033143996,0.5006269262376501,0.09818153395551918,0.5003473485725628,0.09692768148021902,0.5,0.903072318519781,0.50062692623765,0.6721977686221885,0.9018184660444808,0.4959835729518475,0.4785743443281813,21.822794675827026,4.342056751251221,1730548311.449901,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1053054332733154,0.0029833316802978516,9.059906005859375e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.4886860404539174,0.4994002570442124,0.5113139595460826,1.0513357625873916,0.49880051581422047,0.01251344373186214,0.007367744717096475,0.47651163003077596,1.0048094745203764,0.004338027435092373,0.9557455479755472,0.6454559792676251,0.5021690137175462,0.0980246559757522,0.5011994841857795,0.09368662854065979,0.5,0.9063133714593402,0.5021690137175462,0.6739761080973836,0.9019753440242478,0.5004128659285535,0.48315384012504387,21.822794675827026,4.342056751251221,1730548311.449901,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005509853363037109,4.291534423828125e-06,3.5762786865234375e-06,1.1053054332733154,0.0029833316802978516,9.059906005859375e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
