,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,fowlkes_mallows_index,negative_likelyhood_ratio,positive_likelyhood_ratio,informedness,precision,threat_score,specificity,prevalence_threshold,negative_predictive_value,miss_rate,matthews_correlation_coefficient,balanced_accuracy,false_discovery_rate,markedness,accuracy,f1_score,recall,prevalence,fall_out,false_omission_rate,diagnostic_odds_ratio,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005282769016,1.0,True,0.671609694643313,0.85817635093305,1.0201572506897787,0.017648839167304198,0.5049890301071602,0.47623521265608865,0.12444214546314995,0.49750542285379973,0.5381620530784754,0.10679330629584582,0.027596494832464596,0.5088244195836521,0.49501096989283977,0.04315108318563565,0.508824419583652,0.6452023479364529,0.8932066937041542,0.5,0.8755578545368501,0.4618379469215246,1.1887501322783078,0.49588111965312026,0.49844658878393916,3.7805521488189697,1.0034525394439697,1730550096.3401883,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.2614753246307373,0.003152608871459961,8.58306884765625e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.6710946727452447,0.8642973106515139,1.0193391979639772,0.016926917099928218,0.5047884966486751,0.47576836036171394,0.12473531056160385,0.4976056967737529,0.5363951309088844,0.10780839346167559,0.026402875781647905,0.5084634585499641,0.4952115033513249,0.041183627557559443,0.5084634585499641,0.6447737641496828,0.8921916065383244,0.5,0.8752646894383962,0.4636048690911156,1.1793849007763213,0.5002651682387874,0.49900208301287485,3.7805521488189697,1.0034525394439697,1730550096.3401883,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.2614753246307373,0.003152608871459961,8.58306884765625e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.5253298772422509,0.8856107324900122,1.136051815494047,0.062141831248658796,0.5318465625475897,0.35619880540273463,0.5432487907419534,0.4840605364369226,0.5303321532750647,0.48110695949329474,0.06216027079984196,0.5310709156243294,0.46815343745241034,0.06217871582265433,0.5310709156243293,0.5252899559913097,0.5188930405067053,0.5,0.4567512092580466,0.4696678467249354,1.2827891237269522,0.5264180567944509,0.5252175824090854,3.704434871673584,0.9605286121368408,1730550102.0770173,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.0493104457855225,0.004074811935424805,1.1205673217773438e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.503282998543647,0.941870871164047,1.0685457179312527,0.031454570267617,0.5165685769806928,0.33610549503606024,0.54111545962413,0.491713436076009,0.5149673002719042,0.509660889356513,0.03149519752268204,0.5157272851338085,0.4834314230193072,0.0315358772525971,0.5157272851338085,0.5031122112509373,0.490339110643487,0.5,0.45888454037587,0.4850326997280958,1.1344927958231152,0.4947342804668331,0.4969233977495918,3.704434871673584,0.9605286121368408,1730550102.0770173,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.0493104457855225,0.004074811935424805,1.1205673217773438e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.6632000679880374,1.1655028411035802,0.9823319402708738,-0.01596385707918091,0.4955436172494118,0.4662775181141405,0.09645669507987431,0.5022282356274774,0.46178651028247164,0.11242055215905522,-0.0260993437784916,0.49201807146040955,0.5044563827505881,-0.04266987246811649,0.49201807146040955,0.6360017286684522,0.8875794478409448,0.5,0.9035433049201257,0.5382134897175284,0.8428395930298486,0.49878219093251464,0.4834880003841421,3.780132532119751,0.969876766204834,1730550107.9345365,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.083808422088623,0.003155946731567383,9.298324584960938e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.6612731867830716,1.2122879201146501,0.977656893179319,-0.020215449498795945,0.49435111649100016,0.46439013116080197,0.09522656535462881,0.5028245318878639,0.45202072971956364,0.11544201485342476,-0.03292593559253876,0.489892275250602,0.5056488835089998,-0.053628153789436195,0.489892275250602,0.6342437322937793,0.8845579851465752,0.5,0.9047734346453712,0.5479792702804364,0.8064560216741735,0.5023315832731597,0.4890829644051176,3.780132532119751,0.969876766204834,1730550107.9345365,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.083808422088623,0.003155946731567383,9.298324584960938e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.5285306194353946,1.0114323835517753,0.9912380633923294,-0.004960296715330381,0.4977998771797423,0.35831156592520447,0.4338812368274792,0.5011000667350755,0.4971581486792044,0.43884153354280964,-0.005000968683230106,0.4975198516423348,0.5022001228202577,-0.00504197414105334,0.49751985164233475,0.5275837663668026,0.5611584664571904,0.5,0.5661187631725209,0.5028418513207956,0.9800339395021831,0.4858955411576157,0.4926520808212234,3.8787038326263428,1.0809149742126465,1730550114.0204685,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.1051363945007324,0.003086566925048828,9.298324584960938e-06,2.6226043701171875e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.5107624674574511,1.0682795262816354,0.9476071548055303,-0.029645217100368493,0.4865494319362107,0.3424266620183197,0.434174323033374,0.5067265011958114,0.4834936415958271,0.4638195401337425,-0.02980066423425015,0.48517739144981575,0.5134505680637893,-0.02995692646796222,0.48517739144981575,0.5101606988399441,0.5361804598662575,0.5,0.565825676966626,0.5165063584041729,0.8870404528895823,0.4609348067385634,0.4707807368723886,3.8787038326263428,1.0809149742126465,1730550114.0204685,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.1051363945007324,0.003086566925048828,9.298324584960938e-06,2.6226043701171875e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.6781526994216753,0.7858755749663152,1.0287677902621724,0.025360576261672874,0.5070899662347397,0.4820050128245248,0.11843850255608811,0.4964548386668462,0.5599494242586647,0.09307792629441514,0.04123296709120089,0.5126802881308364,0.4929100337652603,0.06703939049340435,0.5126802881308365,0.6504768994078917,0.9069220737055849,0.5,0.8815614974439119,0.44005057574133527,1.3090721012754063,0.5084772445726746,0.5016675340605253,3.7113804817199707,1.0508074760437012,1730550119.9595134,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.15700364112854,0.003094196319580078,8.106231689453125e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.6786077291589828,0.7828059388122378,1.0288955063073308,0.025502634788006295,0.507120994210274,0.4823610844787833,0.1174186561480588,0.4964393223288718,0.5609135454564573,0.0919160213600525,0.04165405164075611,0.5127513173940031,0.492879005789726,0.06803453966673123,0.5127513173940031,0.6508010626147643,0.9080839786399475,0.5,0.8825813438519412,0.4390864545435427,1.3143685494625759,0.5116282744686018,0.49972183522621716,3.7113804817199707,1.0508074760437012,1730550119.9595134,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006852149963378906,4.0531158447265625e-06,3.814697265625e-06,1.15700364112854,0.003094196319580078,8.106231689453125e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
