,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,positive_likelyhood_ratio,threat_score,false_discovery_rate,matthews_correlation_coefficient,recall,diagnostic_odds_ratio,precision,accuracy,balanced_accuracy,specificity,prevalence_threshold,negative_predictive_value,f1_score,fall_out,informedness,miss_rate,false_omission_rate,negative_likelyhood_ratio,fowlkes_mallows_index,markedness,prevalence,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005282769016,1.0,True,0.9779869373034549,0.4634836193474836,0.5055645116460059,-0.03180592870161841,0.8810068070634978,0.8150056977772511,0.4944354883539941,0.49008490945009714,0.49008490945009714,0.09916301183669651,0.5027823419775269,0.4545504994450611,0.6333977548093566,0.9008369881633035,-0.01983018109980572,0.11899319293650223,0.5454495005549389,1.1999755829569037,0.6600007809795634,-0.051014012200944814,0.5,0.5660203227874855,0.5226944234530587,21.791513919830322,5.001797199249268,1730549001.8140976,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.2886717319488525,0.0034072399139404297,1.0013580322265625e-05,2.6226043701171875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.9803440283984783,0.4644694686462607,0.5049627669030359,-0.028451852850438802,0.8826561832773505,0.8324924810654497,0.49503723309696407,0.49115133852513504,0.49115133852513504,0.09964649377291958,0.5024814445686572,0.4592209373097992,0.6343177220015533,0.9003535062270804,-0.01769732294972992,0.11734381672264949,0.5407790626902008,1.1776010603048375,0.661020177260533,-0.045741829593236805,0.5,0.6055356136005918,0.5458057190312184,21.791513919830322,5.001797199249268,1730549001.8140976,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.2886717319488525,0.0034072399139404297,1.0013580322265625e-05,2.6226043701171875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.9552191087520059,0.45023345929953484,0.5114516299087771,-0.05967610202392956,0.851651139371461,0.6981379495719617,0.48854837009122287,0.4800371994739246,0.4800371994739246,0.10842325957638824,0.5057265660337807,0.4222547973271269,0.6209116972339037,0.8915767404236118,-0.039925601052150816,0.14834886062853903,0.5777452026728731,1.3682383393391868,0.6450370346160444,-0.08919683258165023,0.5,0.6099248929361749,0.5831276699688063,21.84616780281067,4.746215343475342,1730549029.6123095,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.1855933666229248,0.002969503402709961,8.344650268554688e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.9515470022205773,0.44864973022524274,0.5124139971326056,-0.06437592469425077,0.8489036024177536,0.6793239378652409,0.4875860028673944,0.4783868141737067,0.4783868141737067,0.10787002592965975,0.5062079554051814,0.41654058648533787,0.6194040158423729,0.8921299740703402,-0.04322637165258658,0.15109639758224636,0.5834594135146621,1.4007264416602052,0.6433611072505115,-0.09587341064726773,0.5,0.656085152900539,0.6165357247122623,21.84616780281067,4.746215343475342,1730549029.6123095,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.1855933666229248,0.002969503402709961,8.344650268554688e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.9710459837122618,0.46908495095919717,0.50734483531257,-0.0501483160993238,0.9074470485299054,0.687162690893831,0.49265516468743,0.4864711676562681,0.4864711676562681,0.06549528678263071,0.5036726157921316,0.41440061279203366,0.6386083400458517,0.9345047132173693,-0.027057664687463845,0.09255295147009457,0.5855993872079663,1.4131238447319774,0.6686243153958902,-0.09294422252053636,0.5,0.6783337784101272,0.6323054649330737,17.41642999649048,4.584664821624756,1730549052.7620065,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.131221055984497,0.00298309326171875,9.059906005859375e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.9757400851192046,0.47150452383173214,0.5061394499872517,-0.04273680538142015,0.9124026537179787,0.7230519426617088,0.4938605500127483,0.4886574247313485,0.4886574247313485,0.06491219574471832,0.5030698407090213,0.4256271108160379,0.6408468559837728,0.9350878042552817,-0.022685150537303023,0.08759734628202132,0.5743728891839621,1.3494743981010504,0.6712672168356295,-0.08051233917121381,0.5,0.7273819069009643,0.6672420317219452,17.41642999649048,4.584664821624756,1730549052.7620065,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.131221055984497,0.00298309326171875,9.059906005859375e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,1.0286218079914355,0.4897330352772135,0.4929455042140718,0.048436949080237976,0.9347941647452441,1.4389455005002472,0.5070544957859282,0.5130055083836388,0.5130055083836388,0.09121685202203353,0.49647257655285704,0.5831433637284701,0.657477579781377,0.9087831479779664,0.026011016767277573,0.06520583525475587,0.4168566362715299,0.7148441741774353,0.6884704669544858,0.09019785951439818,0.5,0.5427361566065622,0.4966378965418447,17.44715428352356,4.452124834060669,1730549075.7864845,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.101898431777954,0.0030286312103271484,8.106231689453125e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,1.03453870106977,0.4926253211144574,0.49151190855902394,0.059509848164895865,0.9404454266507596,1.5799504408708926,0.5084880914409761,0.5156986700593873,0.5156986700593873,0.09095191346801496,0.4957556484617255,0.6043056043056043,0.660079008637804,0.909048086531985,0.0313973401187746,0.059554573349240414,0.3956943956943957,0.6547918683446277,0.6915238969855194,0.11279369574658027,0.5,0.5708894010649002,0.510712815260707,17.44715428352356,4.452124834060669,1730549075.7864845,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.101898431777954,0.0030286312103271484,8.106231689453125e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.9933367994176977,0.20784567987189306,0.5016713684772811,-0.0020005859835514617,0.26284289825723767,0.9909609490751032,0.49832863152271895,0.4991184385025561,0.4991184385025561,0.7353939787478745,0.5008356865731143,0.49940133723772073,0.3441593298473985,0.2646060212521255,-0.0017631229948877891,0.7371571017427623,0.5005986627622793,1.002397521663,0.36191455040381354,-0.002270031239560266,0.5,0.6385439261523118,0.5954888688741091,17.329499006271362,4.635902643203735,1730549098.9022646,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.1294867992401123,0.0030066967010498047,8.821487426757812e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.8166152007172028,0.17115596738892155,0.5504743104677304,-0.05686122230995927,0.21654127394311323,0.7659292146686976,0.44952568953226957,0.47568599138025913,0.47568599138025913,0.734830708817405,0.5253017805319171,0.4839859199035038,0.29228552328604324,0.265169291182595,-0.048628017239481736,0.7834587260568868,0.5160140800964962,1.0661758098239267,0.311994976692693,-0.06648839056422662,0.5,0.6348600136097456,0.5929969876868987,17.329499006271362,4.635902643203735,1730549098.9022646,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005358457565307617,4.76837158203125e-06,2.6226043701171875e-06,1.1294867992401123,0.0030066967010498047,8.821487426757812e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
