,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,balanced_accuracy,fall_out,recall,informedness,accuracy,miss_rate,false_discovery_rate,specificity,false_omission_rate,markedness,prevalence,f1_score,matthews_correlation_coefficient,negative_predictive_value,prevalence_threshold,precision,negative_likelyhood_ratio,positive_likelyhood_ratio,fowlkes_mallows_index,threat_score,diagnostic_odds_ratio,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005282769016,1.0,True,0.5753250826807834,0.8104312607650105,0.9610814261265772,0.15065016536156683,0.5753250826807834,0.03891857387342279,0.45747979495819824,0.18956873923498951,0.1703314435447745,0.3721887614970272,0.5,0.6935428660833488,0.23679167735637136,0.8296685564552255,0.4787013202783005,0.5425202050418018,0.20530058927690237,1.1858888873799855,0.7220845465484342,0.5308577281859713,5.776354035596554,0.7343803616832819,0.699640563258161,32.312737703323364,5.468254566192627,1730552109.0481625,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,6.3405656814575195,0.003751993179321289,1.4781951904296875e-05,1.3828277587890625e-05,5.9604644775390625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.5772783102138207,0.8100355267154737,0.964592147143115,0.1545566204276414,0.5772783102138206,0.03540785285688497,0.45645378951755344,0.1899644732845263,0.15710825487361801,0.38643795560882843,0.5,0.6952948362990171,0.2443901479680951,0.842891745126382,0.47818544968732124,0.5435462104824466,0.18639197237607452,1.1908022738883273,0.7240859108149852,0.532913378166385,6.388699356030743,0.7842702993941285,0.7437110350097084,32.312737703323364,5.468254566192627,1730552109.0481625,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,6.3405656814575195,0.003751993179321289,1.4781951904296875e-05,1.3828277587890625e-05,5.9604644775390625e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.5749008105743356,0.8057064873461257,0.9555081084947971,0.14980162114867124,0.5749008105743356,0.04449189150520294,0.45747207026831793,0.1942935126538743,0.186325842075183,0.3562020876564991,0.5,0.6920926102114847,0.23099707830941218,0.813674157924817,0.47869743685346755,0.5425279297316821,0.2289931912676023,1.1859257974229487,0.7199929415928449,0.5291602567697045,5.178869253090898,0.5771623106730348,0.5180105514626491,39.058738470077515,5.116420745849609,1730552159.7116354,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,6.4624810218811035,0.003844022750854492,1.3589859008789062e-05,2.86102294921875e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.5765079043640189,0.8063904064661264,0.9594062151941642,0.15301580872803777,0.576507904364019,0.04059378480583575,0.4566723010874931,0.19360959353387364,0.17332706766917294,0.37000063124333393,0.5,0.6937648326565955,0.23794105534687213,0.8266729323308271,0.478295327810195,0.5433276989125069,0.20966825075604287,1.1897540043892691,0.7219916697745221,0.5311178645324339,5.674459533568552,0.5961229877424831,0.5266673464701774,39.058738470077515,5.116420745849609,1730552159.7116354,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,6.4624810218811035,0.003844022750854492,1.3589859008789062e-05,2.86102294921875e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.5740539172256677,0.802223163826263,0.9503309982775984,0.14810783445133535,0.5740539172256677,0.04966900172240163,0.45774514772384023,0.19777683617373695,0.20072676164086234,0.3415280906352973,0.5,0.690508482166419,0.22490661597270384,0.7992732383591377,0.47883471611363126,0.5422548522761598,0.2511365976082756,1.184621737603442,0.7178590356640184,0.527310389385946,4.717041438345924,0.7285109067101925,0.7000423040954568,28.286487579345703,4.297995328903198,1730552197.086015,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,4.7632246017456055,0.0037446022033691406,1.3828277587890625e-05,2.6226043701171875e-06,5.4836273193359375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.5743639749419994,0.8033880248114706,0.9521159746954696,0.14872794988399884,0.5743639749419994,0.0478840253045304,0.457639529751635,0.19661197518852933,0.1958478879325867,0.3465125823157784,0.5,0.6910648468416941,0.22701565139178426,0.8041521120674133,0.478781621850307,0.542360470248365,0.24354582297754176,1.185125923328146,0.7186028581677193,0.5279595747537502,4.866131181553587,0.7762650257368526,0.7442302454692438,28.286487579345703,4.297995328903198,1730552197.086015,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,4.7632246017456055,0.0037446022033691406,1.3828277587890625e-05,2.6226043701171875e-06,5.4836273193359375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.5783285549985417,0.8030959207144941,0.9597530307115775,0.1566571099970835,0.5783285549985417,0.04024696928842253,0.4555670637945598,0.19690407928550596,0.1697102733909105,0.3747226628145297,0.5,0.6947560634584757,0.24228695674124884,0.8302897266090895,0.47773949618886496,0.5444329362054402,0.20439885976189165,1.1950664994758153,0.7228562516450793,0.5322806289369598,5.846737603467908,0.6962942593836162,0.661669578762218,27.35407829284668,5.3754589557647705,1730552235.4149473,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,5.586052417755127,0.005763053894042969,1.1682510375976562e-05,3.0994415283203125e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.5799483167732762,0.8033572085774786,0.963253842124031,0.15989663354655237,0.5799483167732762,0.03674615787596902,0.4547448111221034,0.1966427914225214,0.15744600584740168,0.38780918303049505,0.5,0.6963420766209877,0.2490168324130216,0.8425539941525984,0.4773258727233588,0.5452551888778966,0.18686755619235226,1.1990355371674384,0.7247200532789873,0.5341447814899984,6.416499266107008,0.749324729273082,0.7155331868895218,27.35407829284668,5.3754589557647705,1730552235.4149473,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,5.586052417755127,0.005763053894042969,1.1682510375976562e-05,3.0994415283203125e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.5754879679512225,0.8129064565299935,0.9638823924324383,0.15097593590244496,0.5754879679512225,0.03611760756756166,0.45751438444961867,0.18709354347000653,0.16180915424553652,0.3806764613048448,0.5,0.6942424828539631,0.23973523942368127,0.8381908457544635,0.47871870932074917,0.5424856155503813,0.19304571872279372,1.1857236274723504,0.7231129462102622,0.5316779522520784,6.142190747959576,0.5335778396086828,0.5097339086437459,27.60004425048828,4.537940502166748,1730552274.1646903,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,6.585788249969482,0.0038881301879882812,1.4543533325195312e-05,2.6226043701171875e-06,5.4836273193359375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.57645947885346,0.8130995408381135,0.9660184985450335,0.1529189577069201,0.57645947885346,0.03398150145496648,0.45702394267219626,0.1869004591618865,0.15384462071989477,0.38913143660790883,0.5,0.6951978900179792,0.24393764305059165,0.8461553792801052,0.47847213692408663,0.5429760573278037,0.18181604051348488,1.1880691723786938,0.7242409237579074,0.5327994833082839,6.5344574055366555,0.5634466732608585,0.5314644860067295,27.60004425048828,4.537940502166748,1730552274.1646903,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,fd068ab20e36,0.11.95,5,,0.0026803016662597656,2.6226043701171875e-06,2.384185791015625e-06,6.585788249969482,0.0038881301879882812,1.4543533325195312e-05,2.6226043701171875e-06,5.4836273193359375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
