,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,precision,positive_likelyhood_ratio,matthews_correlation_coefficient,accuracy,recall,specificity,prevalence_threshold,negative_predictive_value,f1_score,markedness,diagnostic_odds_ratio,miss_rate,false_discovery_rate,prevalence,fall_out,false_omission_rate,fowlkes_mallows_index,balanced_accuracy,informedness,negative_likelyhood_ratio,threat_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.48405346075518607,0.9381853039729474,-0.027116506396734547,0.48661826317070517,0.40619948464629174,0.5670370416951186,0.5079752981938251,0.48847234331105294,0.4417222483017784,-0.027474195933760992,0.8958998949500212,0.5938005153537083,0.5159465392448139,0.5,0.4329629583048814,0.5115276566889471,0.4434210936570458,0.48661826317070517,-0.026763473658589665,1.0471988101140308,0.2834682378160033,0.48401313774314964,0.5201458275164516,1006.6332714557648,1446.3942716121674,1726934868.884897,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,1.7654109001159668,0.0030345916748046875,8.821487426757812e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,0.4652095871608067,0.8698914116485685,-0.057572375842593976,0.47172276442492644,0.3781168435319393,0.5653286853179136,0.5174163122275289,0.4761818113837756,0.4171660564072343,-0.058608601455417686,0.7907829035113708,0.6218831564680607,0.5347904128391934,0.5,0.4346713146820864,0.5238181886162244,0.4194086082545765,0.47172276442492644,-0.05655447115014711,1.100038212492868,0.2635564255466608,0.46198166799738893,0.4859393485965284,1006.6332714557648,1446.3942716121674,1726934868.884897,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,1.7654109001159668,0.0030345916748046875,8.821487426757812e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.47671739793543,0.9110132766779926,-0.028786077597052706,0.487125035048639,0.26361829202341064,0.7106317780738673,0.5116476183944968,0.4911023877279109,0.33949849487485717,-0.032180214336659074,0.8791567982228635,0.7363817079765893,0.52328260206457,0.5,0.28936822192613265,0.5088976122720891,0.3545016589828356,0.487125035048639,-0.025749929902721957,1.036235263743082,0.20445539725618678,0.4929069979563521,0.5220602588717457,943.2464711666107,838.0905368328094,1726936655.352874,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,5.071555852890015,0.005359649658203125,1.5974044799804688e-05,3.5762786865234375e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,0.44534373809131084,0.8029184355708692,-0.06481919397821417,0.47156296423434996,0.23170731707317074,0.7114186113955292,0.5274102598963599,0.4807820377699604,0.3048201518669986,-0.07387422413872868,0.7434811383620837,0.7682926829268293,0.5546562619086892,0.5,0.2885813886044708,0.5192179622300396,0.32123107372804777,0.47156296423434996,-0.056874071531300086,1.0799445932679987,0.17981581848245454,0.47236133767871175,0.48950742700421696,943.2464711666107,838.0905368328094,1726936655.352874,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,5.071555852890015,0.005359649658203125,1.5974044799804688e-05,3.5762786865234375e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.47271758084778237,0.8965168639755402,-0.029620517924369122,0.487580389925819,0.2151923550687915,0.7599684247828464,0.5136513782864206,0.4919602521571428,0.29575153430373724,-0.035322166995074844,0.868142038762211,0.7848076449312085,0.5272824191522176,0.5,0.24003157521715357,0.5080397478428572,0.31894389711210364,0.487580389925819,-0.02483922014836204,1.0326845423287943,0.1735378028830493,0.49899976040584065,0.5263784375154337,558.0504925251007,1639.1353344917297,1726938854.4838605,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,1.8945107460021973,0.0037550926208496094,9.059906005859375e-06,2.86102294921875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,0.4292384377563253,0.7520451028078707,-0.07319868910574964,0.47013068104473815,0.18118678274868164,0.7590745793407946,0.5355597363841496,0.4810700614962782,0.25481362485251674,-0.08969150074739651,0.6971777055278964,0.8188132172513184,0.5707615622436747,0.5,0.2409254206592054,0.5189299385037218,0.2788769111438572,0.4701306810447381,-0.059738637910523806,1.078699299826906,0.14600940534559398,0.4777398346646918,0.4934148458415376,558.0504925251007,1639.1353344917297,1726938854.4838605,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,1.8945107460021973,0.0037550926208496094,9.059906005859375e-06,2.86102294921875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.4652869799665817,0.8701620542875549,-0.042634567092128484,0.48098791663491636,0.2548344927435446,0.7071413405262882,0.5173774750589771,0.4869090451552235,0.32930880695370857,-0.04780397487819488,0.8257595870339177,0.7451655072564554,0.5347130200334183,0.5,0.2928586594737118,0.5130909548447765,0.3443416494122656,0.48098791663491636,-0.038024166730167286,1.0537716642359896,0.1971093211745829,0.494644722798723,0.522365225598563,552.1086761951447,1082.7685215473175,1726940491.4870927,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,2.0720012187957764,0.004221200942993164,1.0013580322265625e-05,2.6226043701171875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,0.42827900665259866,0.7491049159224394,-0.08443587927121196,0.4630876356082173,0.22042068879800664,0.7057545824184279,0.5360468819926553,0.47514877661492605,0.29104855237682165,-0.09657221673247529,0.6781660563942901,0.7795793112019933,0.5717209933474013,0.5,0.2942454175815721,0.524851223385074,0.3072483582447461,0.4630876356082173,-0.07382472878356539,1.1046039666233385,0.17030826287172404,0.47254898756195624,0.4879071540149875,552.1086761951447,1082.7685215473175,1726940491.4870927,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,2.0720012187957764,0.004221200942993164,1.0013580322265625e-05,2.6226043701171875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.4873976473464097,0.9508299070874269,-0.02326391919991888,0.4884052813767623,0.448427268617948,0.5283832941355766,0.5063021773931642,0.48926371227228416,0.467101039952838,-0.023338640381306064,0.9108547429649582,0.551572731382052,0.5126023526535903,0.5,0.4716167058644234,0.5107362877277158,0.4675065729274449,0.4884052813767623,-0.023189437246475375,1.0438875291930128,0.30471743547824376,0.4906255735225304,0.524876518292001,1001.3788328170776,479.843936920166,1726941977.5972939,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,4.841485500335693,0.005891561508178711,1.621246337890625e-05,3.5762786865234375e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,0.4730853073200422,0.8978404168497709,-0.04842578945082057,0.4759219583217429,0.4232248862163458,0.52861903042714,0.5134671090001318,0.47821768660132735,0.4467682657299185,-0.04869700607863048,0.8228779628162862,0.5767751137836542,0.5269146926799577,0.5,0.47138096957286,0.5217823133986726,0.44746114396799846,0.4759219583217429,-0.04815608335651422,1.0910978995924583,0.28763786875618447,0.46965416942394717,0.49196759035582127,1001.3788328170776,479.843936920166,1726941977.5972939,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.03296303749084473,4.0531158447265625e-06,2.86102294921875e-06,4.841485500335693,0.005891561508178711,1.621246337890625e-05,3.5762786865234375e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
