,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,miss_rate,accuracy,specificity,markedness,threat_score,fall_out,precision,positive_likelyhood_ratio,negative_likelyhood_ratio,fowlkes_mallows_index,negative_predictive_value,recall,f1_score,prevalence,false_omission_rate,balanced_accuracy,matthews_correlation_coefficient,diagnostic_odds_ratio,informedness,false_discovery_rate,prevalence_threshold,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.4984060729766301,0.504438877762924,0.507283828502478,0.008878042952300547,0.33602766326311123,0.492716171497522,0.5044642790710133,1.0180179909639775,0.9824994312315151,0.5030270557159354,0.5044137638812873,0.5015939270233699,0.5030250083930118,0.5,0.4955862361187126,0.504438877762924,0.008877899237911047,1.0361512267624844,0.008877755525847908,0.4955357209289867,0.49776781597665065,0.5118526664620805,0.5412568027583268,338.41279697418213,394.3681321144104,1727001560.9384243,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.5485594272613525,0.003133535385131836,9.059906005859375e-06,2.6226043701171875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,0.5184095738069732,0.4942353560880913,0.5068802859831559,-0.011536666410404739,0.32253972784100143,0.49311971401684407,0.49408578645681533,0.9766196980244366,1.0227455834102026,0.4877980980648187,0.4943775471327799,0.4815904261930268,0.4877580930858477,0.5,0.5056224528672201,0.4942353560880913,-0.01153297652702548,0.954899941750943,-0.011529287823817347,0.5059142135431847,0.5029572102122795,0.49467826683266497,0.511872098593258,338.41279697418213,394.3681321144104,1727001560.9384243,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.5485594272613525,0.003133535385131836,9.059906005859375e-06,2.6226043701171875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.1793217838666028,0.5115359034928789,0.2023935908523607,0.03734969407668398,0.45653943597282426,0.7976064091476394,0.5071284762350601,1.0289263059087168,0.8860052490368235,0.6451273465193031,0.530221217841624,0.8206782161333972,0.6268823551185225,0.5,0.469778782158376,0.5115359034928789,0.029355151723579276,1.1613094922713638,0.023071806985757837,0.4928715237649399,0.4964355807466837,0.5188603803918488,0.544514157262857,312.46945667266846,394.3884389400482,1727002269.283561,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.4413516521453857,0.003031015396118164,8.58306884765625e-06,1.9073486328125e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,0.1839803268209823,0.5090065162966602,0.20199335941430271,0.02891468905890182,0.4538468628309408,0.7980066405856973,0.5055801545612056,1.0225725347098613,0.910823639719886,0.6423109468869671,0.5233345344976961,0.8160196731790177,0.6243392951953785,0.5,0.47666546550230393,0.5090065162966602,0.02282194637719842,1.1226899370160643,0.01801303259332032,0.49441984543879436,0.4972098358362139,0.5017007110460497,0.5162649882084194,312.46945667266846,394.3884389400482,1727002269.283561,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.4413516521453857,0.003031015396118164,8.58306884765625e-06,1.9073486328125e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.29636685253234274,0.502934468107773,0.30223578874788876,0.006996155699591222,0.4144469195452787,0.6977642112521112,0.5020939586402915,1.0084110593821005,0.9805815974347049,0.5943819920241225,0.5049021970592997,0.7036331474676573,0.5860197562995386,0.5,0.49509780294070027,0.502934468107773,0.006407807078473077,1.0283805672268378,0.005868936215545961,0.4979060413597085,0.4989530160891567,0.511121928073453,0.5418898676543877,306.8557198047638,394.7094271183014,1727002972.4000018,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.5062456130981445,0.003031492233276367,8.58306884765625e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,0.30623043187481136,0.4970880854161611,0.3004066027071336,-0.0068899400651487586,0.40819737781414867,0.6995933972928664,0.49791015359521545,0.9916754086156137,1.0193864885631538,0.5877371114919484,0.49519990633963584,0.6937695681251886,0.5797445503666061,0.5,0.5048000936603642,0.4970880854161611,-0.006334495553314751,0.9728159238341489,-0.005823829167677763,0.5020898464047845,0.5010449277660908,0.49175140991672656,0.5106501075248507,306.8557198047638,394.7094271183014,1727002972.4000018,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.5062456130981445,0.003031492233276367,8.58306884765625e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.27102603919677026,0.500541912993557,0.2721098651838842,0.0013697206606120282,0.42188675432237943,0.7278901348161158,0.5003719722348752,1.0014889966703393,0.9960169544519031,0.6039520994871868,0.5009977484257369,0.7289739608032297,0.5934182213033353,0.5,0.49900225157426314,0.500541912993557,0.001218416532659583,1.005493924771037,0.0010838259871139844,0.4996280277651248,0.4998140138568607,0.5087705463864708,0.5421655636468713,303.1735575199127,394.35727190971375,1727003671.5413144,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.5780749320983887,0.003026723861694336,8.344650268554688e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,0.2800587117737229,0.495901421037991,0.27186155384970495,-0.01025638903007553,0.4165993123005055,0.7281384461502951,0.4971696455210918,0.9887423085989254,1.0301519571559192,0.598274982815976,0.4925739654488327,0.7199412882262771,0.5881681696201919,0.5,0.5074260345511673,0.49590142103799106,-0.009169146122169403,0.9598023881143525,-0.008197157924017873,0.5028303544789082,0.5014151885764829,0.4913332060240889,0.5127476087980792,303.1735575199127,394.35727190971375,1727003671.5413144,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.5780749320983887,0.003026723861694336,8.344650268554688e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.13423684224154453,0.5072546058905387,0.148746054022622,0.029861320676367598,0.4676630991872765,0.851253945977378,0.5042251215056358,1.0170445163275201,0.9024564928702522,0.6607113843546667,0.5256361991707319,0.8657631577584555,0.6372894425788133,0.5,0.47436380082926805,0.5072546058905387,0.020815000018162055,1.1269734600643428,0.014509211781077447,0.4957748784943642,0.49788740153313493,0.516606055552195,0.5452211462945062,297.262531042099,394.3956174850464,1727004364.7081056,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.4738662242889404,0.003049135208129883,8.344650268554688e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,0.13841063914157703,0.5053118767052752,0.14903439255212741,0.02158135233677294,0.46548102103657657,0.8509656074478726,0.5031017262532184,1.012484351091946,0.9287160954688057,0.6583821798691697,0.5184796260835547,0.861589360858423,0.63526038802922,0.5,0.4815203739164453,0.5053118767052752,0.015141828340464125,1.090197915199106,0.01062375341055044,0.49689827374678164,0.49844912195270485,0.4988290280812722,0.5149671110396973,297.262531042099,394.3956174850464,1727004364.7081056,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0055997371673583984,3.814697265625e-06,2.1457672119140625e-06,1.4738662242889404,0.003049135208129883,8.344650268554688e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
