,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,precision,fowlkes_mallows_index,fall_out,markedness,negative_predictive_value,matthews_correlation_coefficient,prevalence_threshold,balanced_accuracy,f1_score,diagnostic_odds_ratio,negative_likelyhood_ratio,miss_rate,false_omission_rate,recall,informedness,prevalence,specificity,positive_likelyhood_ratio,threat_score,accuracy,false_discovery_rate,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.5006586854248569,0.6939452937567694,0.9593221241805647,0.016712633447795167,0.5160539480229382,0.006503691743654463,0.4996706571446808,0.5012654500689135,0.6585384137699783,1.0691592757416704,0.9377819001891463,0.038146975681608186,0.48394605197706175,0.9618530243183918,0.0025309001378270857,0.5,0.04067787581943533,1.0026382172098751,0.49091112300927126,0.5012654500689135,0.4993413145751431,0.5226653279902607,0.5196317923723579,2715.8077018260956,954.3493046760559,1726869610.137952,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.227200031280518,0.005163431167602539,1.6450881958007812e-05,2.6226043701171875e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,0.5011873779340086,0.6949688993940107,0.9591089067891407,0.030754694838925678,0.5295673169049171,0.01185032989595429,0.4994063101959876,0.5022830712412923,0.6594227036681168,1.1310619125399037,0.8883340570270661,0.036324950728274574,0.47043268309508296,0.9636750492717254,0.00456614248258469,0.5,0.04089109321085931,1.0047608175153653,0.49189457815856175,0.5022830712412923,0.4988126220659914,0.5071984851889942,0.49334187517399325,2715.8077018260956,954.3493046760559,1726869610.137952,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.227200031280518,0.005163431167602539,1.6450881958007812e-05,2.6226043701171875e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.5001373773733292,0.6924966468898446,0.9583130193024599,0.003316402948411401,0.5031790255750821,0.0013217052368075244,0.49993131131206614,0.5002633734139335,0.6573805601944666,1.0133541640432064,0.9873642365301337,0.041160233869673046,0.49682097442491785,0.958839766130327,0.0005267468278669085,0.5,0.041686980697540045,1.0005496605151525,0.4896253850530291,0.5002633734139335,0.4998626226266708,0.49391473548532583,0.49726056525187207,2130.881278038025,1103.4669909477234,1726872849.6801646,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.106819152832031,0.005439043045043945,1.6689300537109375e-05,3.5762786865234375e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,0.500594473478464,0.6934637543030673,0.9583602133036618,0.014678723231852597,0.5140842497533886,0.005787128110713552,0.49970276315571466,0.5011407958049491,0.6581987946005403,1.0604886596994616,0.9452064529884171,0.03935819508644012,0.4859157502466114,0.9606418049135599,0.0022815916098981592,0.5,0.04163978669633821,1.0023807244689686,0.49053376308794705,0.5011407958049491,0.499405526521536,0.48038670306892894,0.4732494990340925,2130.881278038025,1103.4669909477234,1726872849.6801646,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.106819152832031,0.005439043045043945,1.6689300537109375e-05,3.5762786865234375e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.5007055971202383,0.6935704138782859,0.9580163543053045,0.01736649771930243,0.5166609005990641,0.006857370774072918,0.49964720126425943,0.5013538577176918,0.6583141562201144,1.0719620650435107,0.9355054714620528,0.039275930259311864,0.48333909940093595,0.9607240697406881,0.0027077154353836175,0.5,0.04198364569469547,1.002826377047965,0.4906619230366688,0.5013538577176918,0.4992944028797617,0.5125322929818263,0.5105035930011854,1969.8093745708466,1224.1228592395782,1726876049.0244792,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.351808786392212,0.006583452224731445,2.1457672119140625e-05,3.5762786865234375e-06,5.4836273193359375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,0.5011057770106262,0.6943818338800382,0.957957753564432,0.02770053589716759,0.5265947588865414,0.010845805268376446,0.499447110818656,0.5021232710507159,0.6590074656435482,1.1172861240244802,0.8989934539311603,0.03779570433413626,0.4734052411134586,0.9622042956658637,0.004246542101431716,0.5,0.04204224643556797,1.0044329116661261,0.49143261335142985,0.5021232710507159,0.4988942229893738,0.4974954036000051,0.48344781599313896,1969.8093745708466,1224.1228592395782,1726876049.0244792,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.351808786392212,0.006583452224731445,2.1457672119140625e-05,3.5762786865234375e-06,5.4836273193359375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.4926358386067255,0.6641628999577868,0.9221827737511402,-0.0807453542305725,0.42661880716270206,-0.04649262080308493,0.5036822804007475,0.486614934012383,0.6355863846466505,0.7224416394618429,1.3440129296002286,0.10458735822409382,0.5733811928372979,0.8954126417759062,-0.026770131975234035,0.5,0.07781722624885977,0.9709709043183036,0.4658311654871967,0.486614934012383,0.5073641613932744,0.4832759794775951,0.49464207909875946,1745.2289690971375,416.04993724823,1726878215.6819255,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.302189588546753,0.006015777587890625,1.52587890625e-05,3.337860107421875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,0.4933642238751372,0.66561554764624,0.9221625108752908,-0.07379995522934046,0.4328358208955224,-0.042222574821888945,0.5033180341736064,0.4879217689289244,0.636845656387166,0.7431666301004212,1.3103448275862069,0.1019939512668604,0.5671641791044776,0.8980060487331396,-0.02415646214215117,0.5,0.07783748912470925,0.9738045497867588,0.4671852893042933,0.4879217689289244,0.5066357761248628,0.47031330471223626,0.4708788574848901,1745.2289690971375,416.04993724823,1726878215.6819255,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,5.302189588546753,0.006015777587890625,1.52587890625e-05,3.337860107421875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.5003528913383775,0.6931800519498391,0.9589647945206493,0.008744044652218452,0.508391153313841,0.003441607370663957,0.4998235543088475,0.5006772987653262,0.6579142904062265,1.0355983032656244,0.9669893810734316,0.03968060794869843,0.49160884668615895,0.9603193920513016,0.0013545975306523683,0.5,0.04103520547935071,1.0014125623155221,0.49021778989463044,0.5006772987653262,0.49964710866162254,0.48936411033900545,0.493643188281697,1384.599570274353,408.9247977733612,1726880010.6352534,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,1.4075613021850586,0.0029096603393554688,9.059906005859375e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,0.5005278935889829,0.6935489931619991,0.9589786992264487,0.013194782157347262,0.5126668885683643,0.005171757638404648,0.49973605313194247,0.5010135475050456,0.6582266422222155,1.0542082097559624,0.9505843312653305,0.038994205763460243,0.48733311143163577,0.9610057942365398,0.002027095010091129,0.5,0.041021300773551296,1.0021138060852928,0.4905646981337861,0.5010135475050456,0.49947210641101714,0.4737379095468746,0.468057787298315,1384.599570274353,408.9247977733612,1726880010.6352534,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005794048309326172,5.4836273193359375e-06,3.5762786865234375e-06,1.4075613021850586,0.0029096603393554688,9.059906005859375e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
