,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,recall,positive_likelyhood_ratio,markedness,fowlkes_mallows_index,threat_score,negative_likelyhood_ratio,precision,diagnostic_odds_ratio,fall_out,false_discovery_rate,negative_predictive_value,prevalence,balanced_accuracy,f1_score,false_omission_rate,prevalence_threshold,specificity,miss_rate,informedness,matthews_correlation_coefficient,accuracy,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000008684701898,1.0,True,0.9540188957196407,1.0100846981314457,0.04943533824165525,0.6923890732457806,0.490625795559605,0.8283982006649724,0.5025085256707891,1.2193226606728864,0.9444939592535941,0.4974914743292109,0.5469268125708662,0.5,0.5047624682330233,0.6582816385186949,0.4530731874291338,0.49874572927180266,0.055506040746405895,0.045981104280359286,0.009524936466046574,0.0216995035871628,0.5047624682330233,0.5245811098228472,0.5523408868839432,206.75225281715393,269.999005317688,1726959679.5780056,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.1767637729644775,0.003099203109741211,1.0728836059570312e-05,3.337860107421875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000008684701898,1.0,True,0.9582003482580583,1.0145658520885539,0.0742663385485256,0.6946684079777329,0.4927889339502975,0.7523839299671725,0.5036151342666344,1.3484682642448527,0.9444437207161436,0.4963848657333656,0.5706512042818912,0.5,0.5068783137709574,0.6602258668226502,0.42934879571810886,0.498192409242617,0.05555627928385637,0.04179965174194167,0.013756627541914757,0.0319633283359823,0.5068783137709574,0.5081809365692341,0.5165482583849133,206.75225281715393,269.999005317688,1726959679.5780056,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.1767637729644775,0.003099203109741211,1.0728836059570312e-05,3.337860107421875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000008684701898,1.0,True,0.9537757243304916,1.0114256967084785,0.05503034421263475,0.6925292590193146,0.49087755899066776,0.810970383772974,0.5028401985534876,1.2471795727026458,0.9430012777353796,0.4971598014465124,0.5521901456591471,0.5,0.505387223297556,0.6585082135423577,0.4478098543408529,0.49857988926751273,0.05699872226462041,0.046224275669508375,0.010774446595112064,0.024349979565282287,0.505387223297556,0.5279421094516173,0.5557973379579582,206.45613861083984,270.5621066093445,1726960157.719447,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.0923550128936768,0.0031228065490722656,9.059906005859375e-06,1.6689300537109375e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000008684701898,1.0,True,0.9570930439578096,1.0144288521813571,0.07204012553125239,0.6942436398955464,0.49246361397973915,0.759142593730792,0.5035813754766599,1.3362823540119988,0.9434797146194565,0.49641862452334007,0.5684587500545923,0.5,0.5068066646691766,0.6599338293635941,0.4315412499454077,0.49820928929327346,0.05652028538054358,0.042906956042190414,0.01361332933835313,0.03131622509871268,0.5068066646691766,0.509788185116288,0.5177842232091794,206.45613861083984,270.5621066093445,1726960157.719447,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.0923550128936768,0.0031228065490722656,9.059906005859375e-06,1.6689300537109375e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000008684701898,1.0,True,0.9542750941474943,1.01076024252515,0.05266604963782662,0.6925971901192004,0.4908529162785815,0.8182136058121909,0.5026756652279033,1.235325635439452,0.944116175131166,0.4973243347720967,0.5499903844099233,0.5,0.5050794595081641,0.6584860396608843,0.4500096155900767,0.4986621578081262,0.055883824868834,0.04572490585250566,0.01015891901632826,0.02313071838877058,0.5050794595081641,0.5327901328386296,0.5515790223068345,203.60740423202515,271.62284088134766,1726960634.042501,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.0730700492858887,0.0030820369720458984,8.821487426757812e-06,1.6689300537109375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000008684701898,1.0,True,0.958256799065522,1.0151670584555086,0.07695507441173222,0.694791002035363,0.4929456650910943,0.7446165762974447,0.503763226078917,1.3633420081827319,0.9439400058187756,0.496236773921083,0.5731918483328153,0.5,0.5071583966233733,0.6603665178411118,0.42680815166718467,0.4981183603126248,0.05605999418122446,0.04174320093447803,0.014316793246746506,0.033192617999199134,0.5071583966233733,0.5192379620237191,0.5213641133102102,203.60740423202515,271.62284088134766,1726960634.042501,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.0730700492858887,0.0030820369720458984,8.821487426757812e-06,1.6689300537109375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000008684701898,1.0,True,0.9542805220802878,1.0125974818859362,0.0605871528931754,0.6929118503094223,0.49128723373932737,0.7938587397033046,0.5031296575692153,1.2755386207178152,0.9424085474743286,0.49687034243078465,0.5574574953239602,0.5,0.5059359873029796,0.6588767376589812,0.4425425046760398,0.49843515588797294,0.05759145252567141,0.045719477919712204,0.011871974605959235,0.026819566375971632,0.5059359873029796,0.5234469751826154,0.5459556409275345,203.71607518196106,270.5347602367401,1726961109.4380934,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.1226539611816406,0.0030570030212402344,9.298324584960938e-06,1.430511474609375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000008684701898,1.0,True,0.9573145048178593,1.0156779817190034,0.07766518781391119,0.6945360016813297,0.4928165062759168,0.742839870021915,0.5038890095196736,1.367290613640648,0.9425374203717937,0.49611099048032636,0.5737761782942375,0.5,0.5073885422230328,0.6602506124551515,0.42622382170576245,0.49805546582981647,0.0574625796282063,0.04268549518214071,0.014777084446065514,0.03387720529863274,0.5073885422230328,0.5112507719131596,0.5155782312147279,203.71607518196106,270.5347602367401,1726961109.4380934,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.1226539611816406,0.0030570030212402344,9.298324584960938e-06,1.430511474609375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000008684701898,1.0,True,0.9532503004360802,1.0135252585762122,0.06323841279783737,0.69269527085527,0.4912320843169943,0.7860976233069248,0.5033586016660591,1.289312203123772,0.9405293971412163,0.49664139833394094,0.5598798111317784,0.5,0.5063604516474319,0.6588271396292894,0.4401201888682215,0.49832068022368115,0.059470602858783646,0.04674969956391983,0.012720903294863861,0.028362823091539535,0.5063604516474319,0.5272836947862531,0.5515129923734962,204.1329665184021,270.8204252719879,1726961585.5089629,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.0961506366729736,0.0030350685119628906,9.5367431640625e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000008684701898,1.0,True,0.9568802678373696,1.0174297270343147,0.08418016197842149,0.6946752128489153,0.4931132558914949,0.7245530828164903,0.5043197854182353,1.4042169596178533,0.9404878218238821,0.4956802145817647,0.5798603765601862,0.5,0.5081962230067437,0.6605168816843316,0.4201396234398138,0.49784006698459776,0.059512178176117835,0.04311973216263043,0.01639244601348744,0.03714725778086317,0.5081962230067437,0.5134302947335817,0.5189679609123707,204.1329665184021,270.8204252719879,1726961585.5089629,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0060575008392333984,4.5299530029296875e-06,3.337860107421875e-06,1.0961506366729736,0.0030350685119628906,9.5367431640625e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
