,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,matthews_correlation_coefficient,prevalence_threshold,false_omission_rate,accuracy,fall_out,informedness,false_discovery_rate,diagnostic_odds_ratio,prevalence,specificity,negative_likelyhood_ratio,negative_predictive_value,balanced_accuracy,markedness,fowlkes_mallows_index,threat_score,positive_likelyhood_ratio,miss_rate,recall,precision,f1_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000008684701898,1.0,True,0.24405412657565406,0.47802766980851896,0.16049663862755423,0.5776840313473974,0.8079076296108932,0.15536806269479486,0.4561400390427478,6.236564094066575,0.5,0.1920923703891068,0.19118045979609852,0.8395033613724457,0.5776840313473974,0.38336332232969794,0.723800442393096,0.5328124493357048,1.1923091910514865,0.0367243076943119,0.9632756923056881,0.5438599609572522,0.6952089273108615,0.5481905806396723,0.5273603542108267,1722.588450908661,1012.6697025299072,1726832444.5243807,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.305074691772461,0.0031659603118896484,9.5367431640625e-06,3.814697265625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000008684701898,1.0,True,0.24697215746269038,0.4778743282979666,0.1547297685371317,0.5783124682464208,0.8082800307439783,0.1566249364928416,0.4558351394041803,6.521453339657643,0.5,0.19171996925602178,0.1830536114697288,0.8452702314628683,0.5783124682464208,0.389435092058688,0.724615330354415,0.5336037288648431,1.1937755858556554,0.035095032763180156,0.9649049672368198,0.5441648605958197,0.6958821484606207,0.5656124952996907,0.5425716614312939,1722.588450908661,1012.6697025299072,1726832444.5243807,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.305074691772461,0.0031659603118896484,9.5367431640625e-06,3.814697265625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000008684701898,1.0,True,0.23784946280470975,0.47857805594136354,0.16928648628149945,0.5757370318543664,0.8097574691069205,0.15147406370873284,0.45723461197548554,5.825081837969159,0.5,0.1902425308930795,0.20378443769829477,0.8307135137185006,0.5757370318543664,0.3734789017430149,0.7223040951635862,0.5311383150638422,1.1870610268970945,0.03876846718434668,0.9612315328156533,0.5427653880245145,0.6937822792863699,0.5471141790730218,0.5263099050583978,980.3768694400787,935.8610570430756,1726834362.2047129,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.4054787158966064,0.003675222396850586,1.239776611328125e-05,2.1457672119140625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000008684701898,1.0,True,0.24173296648045722,0.47835251984118765,0.16194471582092984,0.5766319711319255,0.8100256634055469,0.1532639422638511,0.4567860422405877,6.154091974329434,0.5,0.18997433659445306,0.19323870259891648,0.8380552841790702,0.5766319711319255,0.38126924193848244,0.723375669458254,0.5321966561827512,1.1892087487938243,0.03671039433060197,0.963289605669398,0.5432139577594123,0.6946845289541919,0.5614639969416274,0.5381112211012551,980.3768694400787,935.8610570430756,1726834362.2047129,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.4054787158966064,0.003675222396850586,1.239776611328125e-05,2.1457672119140625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000008684701898,1.0,True,0.23787672385337294,0.47852618053247004,0.1700068455963931,0.5758797864868357,0.809148455047489,0.15175957297367137,0.45713143212509977,5.797779758028632,0.5,0.19085154495251103,0.20482921418617211,0.8299931544036069,0.5758797864868357,0.3728617222785071,0.7222511786292507,0.5311382962190004,1.1875546718614998,0.039091971978839735,0.9609080280211603,0.5428685678749002,0.6937822632097906,0.5453966178562337,0.5241194978895823,1672.6420650482178,291.58752942085266,1726836330.3432803,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,3.861048936843872,0.005084037780761719,1.4781951904296875e-05,2.384185791015625e-06,4.76837158203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000008684701898,1.0,True,0.24418198164326074,0.47800995832232623,0.1604135053110774,0.5777414466170768,0.8077936853258297,0.15548289323415365,0.456104820795473,6.241300053313132,0.5,0.1922063146741703,0.19106251270813118,0.8395864946889227,0.5777414466170768,0.38348167389344967,0.7238242102329859,0.5328465224649604,1.1924784707514002,0.036723421440016724,0.9632765785599833,0.543895179204527,0.6952379310723078,0.559617596500943,0.5375970119842107,1672.6420650482178,291.58752942085266,1726836330.3432803,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,3.861048936843872,0.005084037780761719,1.4781951904296875e-05,2.384185791015625e-06,4.76837158203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000008684701898,1.0,True,0.23547556673166575,0.4788386365257463,0.17187804843230278,0.5748560783619802,0.8110764567757428,0.14971215672396032,0.4577529465320159,5.707421347153263,0.5,0.18892354322425722,0.20755161496072475,0.8281219515676972,0.5748560783619802,0.3703690050356814,0.7217927643553957,0.5305069313364019,1.1845845178629748,0.039211386500296874,0.9607886134997031,0.5422470534679841,0.6932434221296548,0.5485124737730916,0.5263450964897249,1420.306164741516,1009.1146199703217,1726838761.0729415,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.2736921310424805,0.005083560943603516,1.6927719116210938e-05,3.5762786865234375e-06,5.7220458984375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000008684701898,1.0,True,0.23805433125650988,0.47873634612404203,0.1662594039212668,0.5753205754508466,0.8118364316141892,0.15064115090169317,0.4575494670892427,5.945204744023057,0.5,0.18816356838581086,0.1994138281177882,0.8337405960787332,0.5753205754508466,0.3761911289894906,0.722562438513377,0.5312165964443039,1.185556036949673,0.037522417484117776,0.9624775825158822,0.5424505329107573,0.693849057903189,0.563107297496903,0.5380307516772005,1420.306164741516,1009.1146199703217,1726838761.0729415,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.2736921310424805,0.005083560943603516,1.6927719116210938e-05,3.5762786865234375e-06,5.7220458984375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000008684701898,1.0,True,0.23202005585870353,0.47916745878123695,0.1764271383844112,0.5737107845425501,0.8123878453386542,0.14742156908510018,0.4584071219292867,5.515161390354904,0.5,0.18761215466134584,0.21422165130395052,0.8235728616155888,0.5737107845425501,0.36516573968630217,0.720989558285782,0.529582791504767,1.1814669802496192,0.04019058557624566,0.9598094144237543,0.5415928780707133,0.6924539089299979,0.5467719210208929,0.5250035050436905,1046.2534971237183,1001.2653787136078,1726840809.892241,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.27728271484375,0.004862070083618164,1.1205673217773438e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000008684701898,1.0,True,0.23665744679402456,0.47883489129397855,0.1686344525715602,0.5749514740174303,0.8119536755989214,0.1499029480348606,0.4577454962067522,5.840160783678868,0.5,0.18804632440107866,0.20284031866989963,0.8313655474284398,0.5749514740174303,0.3736200512216876,0.7221987857707773,0.5308395223271096,1.1846200744448723,0.03814337636621812,0.9618566236337819,0.5422545037932478,0.6935273287433192,0.5605101238708233,0.5372944505832443,1046.2534971237183,1001.2653787136078,1726840809.892241,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0061223506927490234,4.5299530029296875e-06,3.0994415283203125e-06,1.27728271484375,0.004862070083618164,1.1205673217773438e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
