,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,false_omission_rate,diagnostic_odds_ratio,fall_out,prevalence,miss_rate,false_discovery_rate,matthews_correlation_coefficient,accuracy,positive_likelyhood_ratio,markedness,specificity,informedness,prevalence_threshold,negative_predictive_value,negative_likelyhood_ratio,recall,f1_score,threat_score,balanced_accuracy,fowlkes_mallows_index,precision,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005282769016,1.0,True,0.4988270836802692,1.0296326626212413,0.15869977933448165,0.5,0.8373623591950385,0.4938727001219295,0.0053616452784097934,0.5019689307352398,1.0248132762817532,0.007300216197801301,0.8413002206655184,0.003937861470479698,0.49693623503125517,0.5011729163197308,0.9953193148251349,0.1626376408049614,0.2461712478979033,0.14036219192030486,0.5019689307352398,0.28690651787499466,0.5061272998780705,0.4831327867663471,0.5312421410004322,670.961797952652,1007.0744619369507,1726953272.4206529,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,4.275555610656738,0.005372047424316406,1.5974044799804688e-05,4.76837158203125e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005282769016,1.0,True,0.5149506211038352,0.6325825570050442,0.1580388548687448,0.5,0.8938644878121794,0.5982369017464337,-0.07664731427586,0.47404832865953783,0.6715785955040532,-0.113187522850269,0.8419611451312552,-0.051903342680924225,0.5496018438023652,0.48504937889616484,1.0616457695002457,0.10613551218782054,0.16791277367051932,0.09165108039475085,0.4740483286595379,0.2064977777393934,0.4017630982535662,0.44995542190760507,0.48392321495716706,670.961797952652,1007.0744619369507,1726953272.4206529,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,4.275555610656738,0.005372047424316406,1.5974044799804688e-05,4.76837158203125e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005282769016,1.0,True,0.4989055027840384,1.0263781350927927,0.16633447609823748,0.5,0.8300237174160673,0.4945856527160094,0.004868670466801783,0.5018209032428477,1.021894477748223,0.006508844499952371,0.8336655239017625,0.0036418064856951204,0.4972927469921363,0.5010944972159617,0.9956315735972255,0.1699762825839327,0.2543963392939502,0.1457354524514767,0.5018209032428476,0.29310143622288426,0.5054143472839906,0.4726818396559581,0.5314933671112699,360.95172691345215,354.00047993659973,1726953988.558778,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,1.1510374546051025,0.003361940383911133,1.4066696166992188e-05,2.384185791015625e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005282769016,1.0,True,0.5156901201274823,0.6314497073474743,0.1651089794103534,0.5,0.8889867182031495,0.597956060074615,-0.07840771262536805,0.4729521511932486,0.6723636848420209,-0.11364618020209727,0.8348910205896466,-0.05409569761350286,0.5494572346206446,0.4843098798725177,1.064793723108074,0.11101328179685058,0.17398533850797757,0.09528145757921544,0.47295215119324857,0.21126338347582346,0.402043939925385,0.4343629889975556,0.48038045540158564,360.95172691345215,354.00047993659973,1726953988.558778,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,1.1510374546051025,0.003361940383911133,1.4066696166992188e-05,2.384185791015625e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005282769016,1.0,True,0.4998825862596324,1.0028781137095861,0.1632198455891659,0.5,0.8363872487247074,0.49939891906453626,0.0005313197188001884,0.5001964528430634,1.0024072176070775,0.0007184946758314048,0.8367801544108341,0.00039290568612670995,0.49969945942365396,0.5001174137403677,0.9995304553005283,0.16361275127529262,0.24662154315765025,0.14065505492852337,0.5001964528430634,0.2861900070639027,0.5006010809354637,0.4536160151719154,0.5202150600242113,704.8727104663849,1094.7949802875519,1726955792.353428,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,4.084212779998779,0.0055789947509765625,1.5497207641601562e-05,2.86102294921875e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005282769016,1.0,True,0.5165350927373733,0.6069341720796508,0.16288140592464107,0.5,0.8943795591517611,0.6066304864652161,-0.08397963996906824,0.4713695174617989,0.648449958106976,-0.12316557920258941,0.8371185940753589,-0.057260965076402215,0.5539356305440826,0.4834649072626267,1.0684024527488245,0.10562044084823885,0.16652784718751734,0.0908264938368818,0.4713695174617989,0.20383292529864042,0.39336951353478383,0.4133861775384501,0.4687748347563201,704.8727104663849,1094.7949802875519,1726955792.353428,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,4.084212779998779,0.0055789947509765625,1.5497207641601562e-05,2.86102294921875e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005282769016,1.0,True,0.4999677019616115,1.0007825921080613,0.1650930261992153,0.5,0.8347991173379264,0.49983672653360434,0.00014523653377127022,0.5000539282314291,1.0006533072010453,0.0001955715047841089,0.8349069738007847,0.000107856462858269,0.4999183632646982,0.5000322980383884,0.9998708161912132,0.16520088266207358,0.2483674946741401,0.14179201054957347,0.5000539282314291,0.2874498464981337,0.5001632734663957,0.490575484353643,0.5343409390470272,364.639671087265,278.22877383232117,1726956436.462648,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,1.2096097469329834,0.004655361175537109,1.2636184692382812e-05,2.1457672119140625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005282769016,1.0,True,0.5171456231529603,0.5996540212251473,0.1656284530690768,0.5,0.8936267625785264,0.608924351794905,-0.0864309178027382,0.4703723921761984,0.642240119076097,-0.12606997494786532,0.8343715469309232,-0.059255215647603166,0.5551241465515602,0.4828543768470397,1.0710177808262544,0.10637323742147363,0.16725329567832656,0.09125827114239961,0.4703723921761984,0.20396073832058284,0.391075648205095,0.4541161472331309,0.4841936754460795,364.639671087265,278.22877383232117,1726956436.462648,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,1.2096097469329834,0.004655361175537109,1.2636184692382812e-05,2.1457672119140625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005282769016,1.0,True,0.4989901832733125,1.0244737055319564,0.16537917599863527,0.5,0.8312563627058766,0.49496523260065417,0.004509630732040193,0.5016822306477441,1.0203439234424287,0.006044584126033259,0.8346208240013647,0.0033644612954881747,0.4974825524842309,0.5010098167266874,0.9959688744891864,0.16874363729412348,0.252965672444572,0.1447971962855127,0.5016822306477441,0.2919270518656283,0.5050347673993458,0.5103170862496277,0.5465032288369841,351.4560499191284,266.4876170158386,1726957055.5285296,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,1.0934154987335205,0.0030357837677001953,9.5367431640625e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005282769016,1.0,True,0.5167085199273465,0.6130986600916497,0.16715605781125498,0.5,0.8904306788816349,0.6040503348764696,-0.08339129675764895,0.4712066316535551,0.6554911772451935,-0.1207588548038161,0.832843942188745,-0.05758673669288983,0.5526009529087287,0.48329148007265355,1.0691446905905921,0.10956932111836515,0.17164117346868404,0.09387718153460846,0.4712066316535551,0.2082881081690197,0.3959496651235304,0.476012044894556,0.49709131429537523,351.4560499191284,266.4876170158386,1726957055.5285296,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056552886962890625,4.76837158203125e-06,2.6226043701171875e-06,1.0934154987335205,0.0030357837677001953,9.5367431640625e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
