,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,miss_rate,precision,markedness,negative_likelyhood_ratio,fowlkes_mallows_index,recall,false_discovery_rate,false_omission_rate,diagnostic_odds_ratio,f1_score,prevalence,positive_likelyhood_ratio,balanced_accuracy,prevalence_threshold,informedness,negative_predictive_value,accuracy,threat_score,fall_out,matthews_correlation_coefficient,specificity,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005282769016,1.0,True,0.10057945334382545,0.5079225089498807,0.06912671502852863,0.7818825824335651,0.6758963978737255,0.8994205466561745,0.49207749105011933,0.4387957939213521,1.3201473885168449,0.6492176002701012,0.5,1.0322002493264777,0.5140290442046411,0.49603849686115803,0.028058088409282256,0.561204206078648,0.5140290442046411,0.4806233782731535,0.8713624582468922,0.04404047549372872,0.12863754175310776,0.5593321957563602,0.5569023906899615,193.80819392204285,268.6805748939514,1727022639.117006,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.3219964504241943,0.003057718276977539,9.298324584960938e-06,1.430511474609375e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005282769016,1.0,True,0.10293942849092907,0.5074762910423972,0.06436467459365725,0.7956919726409641,0.6747125103848279,0.8970605715090709,0.4925237089576028,0.4431116164487398,1.2949220888242414,0.6482378409674736,0.5,1.0303591112729185,0.513215762063455,0.49626164551206536,0.026431524126909967,0.5568883835512601,0.513215762063455,0.4795502201596069,0.870629047382161,0.04124629012945241,0.12937095261783907,0.546148627922413,0.5394810575917071,193.80819392204285,268.6805748939514,1727022639.117006,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.3219964504241943,0.003057718276977539,9.298324584960938e-06,1.430511474609375e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005282769016,1.0,True,0.10041546749723484,0.5062345977595953,0.0559184747455439,0.8192274539381535,0.6748339158358084,0.8995845325027652,0.49376540224040466,0.45031612301405155,1.2514879404792796,0.6478796655403344,0.5,1.0252532791131437,0.5110789498302362,0.49688257994072144,0.022157899660472324,0.5496838769859484,0.5110789498302362,0.47915828867350035,0.8774266328422929,0.035199942508169074,0.12257336715770706,0.5594188726385618,0.5583992216077005,193.74102807044983,269.6505527496338,1727023103.5742278,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.0405635833740234,0.0029935836791992188,8.344650268554688e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005282769016,1.0,True,0.10209418321571806,0.505576005453306,0.04978700759555954,0.8375225713253883,0.6737652678218768,0.8979058167842819,0.49442399454669395,0.4557889978577465,1.2209289596397555,0.646904903120629,0.5,1.0225555616831192,0.5099030169093078,0.49721191058382697,0.019806033818615676,0.5442110021422535,0.5099030169093078,0.47809271100943235,0.8780997829656663,0.031401961024199204,0.1219002170343337,0.5441465324504018,0.5382140715114659,193.74102807044983,269.6505527496338,1727023103.5742278,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.0405635833740234,0.0029935836791992188,8.344650268554688e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005282769016,1.0,True,0.0988680574280636,0.5051961441852114,0.04805168769721346,0.8421106903145975,0.6747209666146975,0.9011319425719364,0.4948038558147886,0.457144456487998,1.2124330638464687,0.6474284159953443,0.5,1.0210028443559922,0.5092685020608289,0.4974018577558816,0.018537004121657708,0.5428555435120019,0.5092685020608289,0.478664806840357,0.8825949384502787,0.029845172689998867,0.11740506154972127,0.5601997664607179,0.5580327936882253,193.9414234161377,268.7118456363678,1727023567.3152108,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.067497968673706,0.003078937530517578,8.106231689453125e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005282769016,1.0,True,0.1022966898962373,0.5038321844192425,0.03511748375763202,0.8822278750142372,0.6725264453461762,0.8977033101037627,0.4961678155807575,0.4687147006616105,1.1510032259678709,0.645423282474762,0.5,1.0154471301801666,0.5068279969888138,0.49808387965052076,0.013655993977627512,0.5312852993383895,0.5068279969888138,0.47647598997118934,0.8840473161261353,0.021898953096064933,0.11595268387386475,0.542457002257626,0.5367994159715748,193.9414234161377,268.7118456363678,1727023567.3152108,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.067497968673706,0.003078937530517578,8.106231689453125e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005282769016,1.0,True,0.09871837907144387,0.5052635345828598,0.04868801640067133,0.8401820923762866,0.6748220042684822,0.9012816209285561,0.4947364654171402,0.4565755181821884,1.2155438017477282,0.6475223858410074,0.5,1.0212781347274325,0.5093890151494307,0.4973681597919509,0.01877803029886138,0.5434244818178116,0.5093890151494307,0.4787675441442737,0.8825035906296946,0.030236816088392487,0.11749640937030535,0.5611776328561474,0.5579680077489535,193.58415579795837,269.7292034626007,1727024031.7271018,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.0803327560424805,0.0030846595764160156,8.344650268554688e-06,1.1920928955078125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005282769016,1.0,True,0.1013722028764753,0.5045692180296869,0.041724250089343995,0.8616599311480315,0.6733646299697935,0.8986277971235247,0.4954307819703131,0.4628449679403429,1.181957519117758,0.646266946120676,0.5,1.0184454345429055,0.5081376869334766,0.49771534328566364,0.016275373866953213,0.5371550320596571,0.5081376869334766,0.47739614857501017,0.8823524232565716,0.02605912065903851,0.11764757674342843,0.5451417112544494,0.537004731044463,193.58415579795837,269.7292034626007,1727024031.7271018,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.0803327560424805,0.0030846595764160156,8.344650268554688e-06,1.1920928955078125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005282769016,1.0,True,0.09796448440758743,0.507151829415441,0.06461429337089486,0.7938427511415529,0.6763645185330116,0.9020355155924126,0.492848170584559,0.4425375360445461,1.2962547599395873,0.6492663499299918,0.5,1.0290224448107752,0.5127204591603705,0.4964239023703071,0.025440918320740913,0.557462463955454,0.5127204591603705,0.4806768158151243,0.8765945972716718,0.04054438259489623,0.12340540272832828,0.5597454459980911,0.5568244323779202,196.664320230484,268.68324542045593,1727024498.2405186,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.144636631011963,0.0030465126037597656,8.106231689453125e-06,1.430511474609375e-06,2.1457672119140625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005282769016,1.0,True,0.09772268030798625,0.5071637137483915,0.06484912402217313,0.793125625267972,0.6764630930700849,0.9022773196920137,0.49283628625160847,0.44231458972621845,1.2974884938744857,0.6493387171635726,0.5,1.0290713729822007,0.5127447139152905,0.49641795929035615,0.025489427830581057,0.5576854102737816,0.5127447139152905,0.4807561491656463,0.8767878918614326,0.040656697684878285,0.1232121081385674,0.5458274572743089,0.5381296627146874,196.664320230484,268.68324542045593,1727024498.2405186,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005498647689819336,4.291534423828125e-06,3.0994415283203125e-06,1.144636631011963,0.0030465126037597656,8.106231689453125e-06,1.430511474609375e-06,2.1457672119140625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
