,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,precision,accuracy,prevalence_threshold,miss_rate,diagnostic_odds_ratio,recall,prevalence,balanced_accuracy,markedness,matthews_correlation_coefficient,fowlkes_mallows_index,informedness,threat_score,positive_likelyhood_ratio,negative_likelyhood_ratio,false_omission_rate,specificity,fall_out,false_discovery_rate,negative_predictive_value,f1_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005282769016,1.0,True,0.5425928004151676,0.5756046290232937,0.4786648241820143,0.0368670999268117,6.05154491395913,0.9631329000731883,0.5,0.5756046290232937,0.37869783644974886,0.2392960903847249,0.7229031590902705,0.15120925804658736,0.531552697770389,1.1862358111277087,0.19602197917946743,0.16389496396541856,0.18807635797339908,0.811923642026601,0.45740719958483245,0.8361050360345814,0.6941356945069083,0.551511574876828,0.5289937341388227,9570.28594660759,299.93279814720154,1726666253.8265822,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,4.881930112838745,0.004396677017211914,1.3589859008789062e-05,4.291534423828125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005282769016,1.0,True,0.5430893865550801,0.5765211113214441,0.478415155557256,0.035544324750278466,6.306385437994534,0.9644556752497215,0.5,0.5765211113214441,0.38450202011887646,0.24257997396667638,0.7237303648672874,0.15304222264288825,0.5324326557593786,1.1886118872582263,0.1884775199589151,0.15858736643620364,0.18858654739316671,0.8114134526068333,0.4569106134449199,0.8414126335637964,0.6948855517510987,0.5673582289470415,0.5423480346602091,9570.28594660759,299.93279814720154,1726666253.8265822,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,4.881930112838745,0.004396677017211914,1.3589859008789062e-05,4.291534423828125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005282769016,1.0,True,0.5420669265982323,0.5747610374030805,0.4789291830092246,0.03664258239188212,6.013981133967351,0.9633574176081179,0.5,0.5747610374030805,0.37760825613796145,0.23761475106079652,0.722636972883648,0.14952207480616098,0.5311162457116714,1.1837252168127412,0.19682888762769563,0.16445867046027088,0.18616465719804318,0.8138353428019568,0.4579330734017677,0.8355413295397291,0.6937634515984195,0.5527804199557559,0.5303284698373553,9600.786884307861,304.6205427646637,1726676162.9956372,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,3.735799789428711,0.00462031364440918,8.821487426757812e-06,7.62939453125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005282769016,1.0,True,0.5424782418256822,0.5755680092272609,0.47872241626514206,0.0349412070278623,6.314309856261878,0.9650587929721377,0.5,0.5755680092272609,0.3843864183021286,0.2410282821790382,0.7235491671406583,0.15113601845452185,0.5320285993039477,1.1856884008978554,0.18777798807608603,0.15809182352355344,0.18607722548238412,0.8139227745176159,0.45752175817431784,0.8419081764764466,0.6945413415202122,0.5706663191292821,0.544182813800664,9600.786884307861,304.6205427646637,1726676162.9956372,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,3.735799789428711,0.00462031364440918,8.821487426757812e-06,7.62939453125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005282769016,1.0,True,0.5427131938707925,0.575801081866357,0.47860429690505324,0.036872602807569765,6.066401181816797,0.9631273971924302,0.5,0.575801081866357,0.3790875748352671,0.2397300494081075,0.7229812901000738,0.15160216373271407,0.5316665643972371,1.1868113984409328,0.19563681379962747,0.16362561903552555,0.18847476654028383,0.8115252334597162,0.45728680612920747,0.8363743809644745,0.6942327746201942,0.5549038343119703,0.5317927104389858,9417.166321992874,306.3941032886505,1726685890.6033523,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,4.026455879211426,0.004429340362548828,8.821487426757812e-06,1.9073486328125e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005282769016,1.0,True,0.5425636044197855,0.5756164347378199,0.47867950205682924,0.03610782160041914,6.15390477235679,0.9638921783995809,0.5,0.5756164347378199,0.38097012962813115,0.24003167684322144,0.7231685934721692,0.15123286947563974,0.5317558427301937,1.1860962740658079,0.19273880860063472,0.16159347479165434,0.18734069107605886,0.8126593089239411,0.45743639558021454,0.8384065252083457,0.6943088812149002,0.5699465181563349,0.5436811204537505,9417.166321992874,306.3941032886505,1726685890.6033523,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,4.026455879211426,0.004429340362548828,8.821487426757812e-06,1.9073486328125e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005282769016,1.0,True,0.5412961247921804,0.5733181820683128,0.47931660440386986,0.03896920037639706,5.620461881347416,0.9610307996236029,0.5,0.5733181820683128,0.3677717290499185,0.2322255566903011,0.7212504749684305,0.1466363641366255,0.529670275011434,1.180055704885732,0.2099570693294752,0.17352439574226178,0.18560556451302257,0.8143944354869774,0.45870387520781963,0.8264756042577382,0.6925286889130076,0.5487482725103996,0.5276856653289296,9639.06214094162,312.7899570465088,1726695848.3324652,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,5.849783897399902,0.004012584686279297,1.1920928955078125e-05,2.6226043701171875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005282769016,1.0,True,0.5415630664989252,0.5738841221555515,0.4791824423194451,0.03729644776868457,5.86172633238195,0.9627035522313154,0.5,0.5738841221555515,0.3738339039568541,0.23503357132901223,0.7220558758682041,0.14776824431110303,0.5304340865650499,1.1813251222213217,0.20153194728578921,0.16772916254207088,0.18506469207978762,0.8149353079202124,0.45843693350107484,0.8322708374579291,0.6931812238390107,0.5645146247242243,0.5411066265708928,9639.06214094162,312.7899570465088,1726695848.3324652,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,5.849783897399902,0.004012584686279297,1.1920928955078125e-05,2.6226043701171875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005282769016,1.0,True,0.5429031745756024,0.5761125449172642,0.4785087811201494,0.03686049646990197,6.092722809651994,0.963139503530098,0.5,0.5761125449172642,0.3797647124376371,0.24043651442075759,0.7231123661130819,0.15222508983452832,0.5318525802467935,1.1877202911473665,0.19494080532693842,0.1631384621379653,0.18908558630443037,0.8109144136955696,0.45709682542439756,0.8368615378620348,0.6943913364837077,0.5509512348584412,0.5296174905272689,9427.353124856949,307.5328507423401,1726705588.525094,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,5.274078607559204,0.004297971725463867,1.2874603271484375e-05,3.337860107421875e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005282769016,1.0,True,0.5431624355414518,0.5766443762574124,0.47837842600274944,0.03549589923971952,6.323483937789219,0.9645041007602805,0.5,0.5766443762574124,0.38489682096915967,0.24289988376548127,0.7237972067220706,0.15328875251482477,0.532517627842877,1.1889618494600314,0.18802322598698804,0.15826561457229224,0.18878465175454429,0.8112153482454557,0.4568375644585482,0.8417343854277077,0.6949579152214149,0.5687533318735983,0.543865574447714,9427.353124856949,307.5328507423401,1726705588.525094,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,ed6383150693,0.11.95,5,,0.0031223297119140625,3.337860107421875e-06,2.384185791015625e-06,5.274078607559204,0.004297971725463867,1.2874603271484375e-05,3.337860107421875e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
