,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,fowlkes_mallows_index,precision,balanced_accuracy,matthews_correlation_coefficient,negative_likelyhood_ratio,prevalence_threshold,prevalence,threat_score,specificity,diagnostic_odds_ratio,miss_rate,accuracy,recall,fall_out,false_discovery_rate,positive_likelyhood_ratio,markedness,f1_score,negative_predictive_value,informedness,false_omission_rate,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.006565140494669658,0.49372384937238495,0.49999889028055927,-0.0001180286588705606,1.0000022196375775,0.5031381989325073,0.5,8.729011535610668e-05,0.9999104826317811,0.9752044469701182,0.9999127020706625,0.49999889028055927,8.729792933750489e-05,8.951736821893874e-05,0.506276150627615,0.9752066115705544,-0.006276705536393701,0.00017456499291384478,0.4999994450912214,-2.2194388814567034e-06,0.5000005549087786,0.9998617915910003,0.9991394853484822,13.296845436096191,4.637265920639038,1725805405.770322,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,6.408289432525635,0.004124164581298828,1.52587890625e-05,3.5762786865234375e-06,9.298324584960938e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,0.006152025159051098,0.47368421052631576,0.49999556110581733,-0.0004833691291933279,1.0000088785765866,0.5131670194947981,0.5,7.989300255657609e-05,0.9999112221163464,0.899992009352475,0.9999200999047118,0.49999556110581733,7.990009528826178e-05,8.877788365357908e-05,0.5263157894736843,0.9000000000004574,-0.026318009107977325,0.00015977324034925248,0.49999778036570697,-8.877788365335704e-06,0.500002219634293,0.9998589282975873,0.9991292665960665,13.296845436096191,4.637265920639038,1725805405.770322,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,6.408289432525635,0.004124164581298828,1.52587890625e-05,3.5762786865234375e-06,9.298324584960938e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.006310284683377607,0.464,0.49999334168335563,-0.0006924183241923294,1.0000133179535633,0.5180233886628288,0.5,8.580979666776888e-05,0.9999008650632947,0.8656601129696581,0.9999141816965834,0.49999334168335563,8.581830341653023e-05,9.913493670532514e-05,0.536,0.8656716417908442,-0.03600332946621987,0.0001716048679567112,0.49999667053378005,-1.331663328874022e-05,0.50000332946622,0.9998419333457019,0.9990540773048983,10.235436201095581,4.942706108093262,1725805430.4130797,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,9.438912391662598,0.0042231082916259766,1.3589859008789062e-05,2.86102294921875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,0.006788797969599315,0.5370370370370371,0.5000059185255769,0.0006621512921801955,0.9999881620730577,0.4814560089181913,0.5,8.581227233856196e-05,0.9999260184302886,1.1600137321572423,0.9999141813791348,0.5000059185255769,8.581862086517006e-05,7.398156971138992e-05,0.4629629629629629,1.159999999999429,0.037039996536289976,0.00017160981844864724,0.5000029594992528,1.1837051153706923e-05,0.4999970405007473,0.9998864011751365,0.9992602744772067,10.235436201095581,4.942706108093262,1725805430.4130797,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,9.438912391662598,0.0042231082916259766,1.3589859008789062e-05,2.86102294921875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.006442079563128817,0.46360153256704983,0.49999297177687535,-0.0007153198597248918,1.0000140579022798,0.5182234090425645,0.5,8.950809752388054e-05,0.9998964261855318,0.8642735644122992,0.9999104826317811,0.49999297177687535,8.951736821896688e-05,0.00010357381446823855,0.5363984674329502,0.8642857142856107,-0.03640198188381727,0.00017900017308281199,0.4999964855491329,-1.4056446249299803e-05,0.5000035144508671,0.9998399836840759,0.9990188406576231,9.615460872650146,4.68772292137146,1725805450.999675,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,6.262334108352661,0.004543781280517578,9.775161743164062e-06,2.1457672119140625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,0.005120900410834595,0.36923076923076925,0.4999748462662981,-0.002565014928906793,1.000050313571938,0.5665426892520281,0.5,7.10136908478147e-05,0.9998786702256733,0.5853364032930991,0.9999289776930771,0.4999748462662981,7.102230692289937e-05,0.0001213297743266617,0.6307692307692307,0.5853658536583342,-0.13078180884579127,0.00014201729652323905,0.4999874219234395,-5.0307467403754025e-05,0.5000125780765605,0.9998232167960748,0.9988615865153159,9.615460872650146,4.68772292137146,1725805450.999675,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,6.262334108352661,0.004543781280517578,9.775161743164062e-06,2.1457672119140625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.006149222725879728,0.4155405405405405,0.49998150467598784,-0.0017676403060743074,1.0000369953829762,0.5425353472577841,0.5,9.098534913963366e-05,0.9998720123578357,0.7109563568570905,0.99990900300586,0.49998150467598784,9.099699413994155e-05,0.00012798764216426228,0.5844594594594594,0.7109826589597917,-0.08446870813412444,0.00018195414311802832,0.4999907513253351,-3.69906480243154e-05,0.5000092486746649,0.9997999784662521,0.9988132316329188,9.399847984313965,5.995668411254883,1725805474.0669227,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,7.651132106781006,0.006961345672607422,1.5497207641601562e-05,1.8596649169921875e-05,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,0.004969359893580626,0.3793103448275862,0.4999792851604808,-0.002236193823989623,1.0000414340931558,0.561250388647116,0.5,6.509684635368892e-05,0.9998934665396156,0.6110857913254357,0.9999348962186541,0.49997928516048085,6.510378134599108e-05,0.00010653346038436151,0.6206896551724138,0.6111111111110397,-0.12070001348110915,0.00013018521806024025,0.49998964169130466,-4.142967903841832e-05,0.5000103583086953,0.9998272878775777,0.9989756630681794,9.399847984313965,5.995668411254883,1725805474.0669227,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,7.651132106781006,0.006961345672607422,1.5497207641601562e-05,1.8596649169921875e-05,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.00657129112687087,0.47843137254901963,0.49999593102871737,-0.00041897590562923245,1.000008138743378,0.5107893353227756,0.5,9.024830118669118e-05,0.9999016048762552,0.9172857675297001,0.9999097428188205,0.4999959310287173,9.025718117945421e-05,9.839512374476556e-05,0.5215686274509803,0.9172932330831662,-0.02157066212854497,0.0001804803143316163,0.49999796532243534,-8.137942565267231e-06,0.5000020346775647,0.9998460580260046,0.9990624225444359,10.301182746887207,5.051151514053345,1725805496.3320773,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,6.8826940059661865,0.004234790802001953,1.430511474609375e-05,2.86102294921875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,0.0048702094023367936,0.3484848484848485,0.49997040737211546,-0.002994718485010981,1.0000591927879507,0.5775814806483489,0.5,6.805438432973829e-05,0.9998727517000965,0.5348520615456226,0.9999319369558656,0.49997040737211546,6.806304413444523e-05,0.00012724829990351516,0.6515151515151515,0.5348837209302867,-0.15152994927417884,0.00013609950649135473,0.49998520224097265,-5.918525576908973e-05,0.5000147977590274,0.999799897755911,0.9988040652634581,10.301182746887207,5.051151514053345,1725805496.3320773,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,bf14d421379f,0.11.95,5,,0.004039287567138672,3.337860107421875e-06,3.337860107421875e-06,6.8826940059661865,0.004234790802001953,1.430511474609375e-05,2.86102294921875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
