,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,specificity,precision,markedness,accuracy,miss_rate,prevalence,informedness,recall,balanced_accuracy,false_omission_rate,fall_out,diagnostic_odds_ratio,negative_likelyhood_ratio,threat_score,matthews_correlation_coefficient,f1_score,false_discovery_rate,prevalence_threshold,negative_predictive_value,fowlkes_mallows_index,positive_likelyhood_ratio,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.02450482469022182,0.4982900532389299,-0.061443577832128504,0.4966752805555699,0.03115426357908191,0.5,-0.006649438888860049,0.9688457364209181,0.49667528055557,0.5597336310710583,0.9754951753097781,0.7812024859187968,1.2713522325876268,0.49043184135794865,-0.020212998686678252,0.6581070368318365,0.5017099467610702,0.5008549758804218,0.44026636892894166,0.6948137833847926,0.9931835245758663,0.9536195756967777,0.9534924811908738,17.474053859710693,6.591299295425415,1725558611.8816824,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,7.216208219528198,0.0038518905639648438,9.775161743164062e-06,2.384185791015625e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,0.02448494031166956,0.5003031699449444,0.012688604673703363,0.5005918525576908,0.023301235196287906,0.5,0.0011837051153815725,0.9766987648037121,0.5005918525576908,0.48761456527124103,0.9755150596883304,1.0520751587540158,0.9516557892192411,0.49440208517458845,0.003875508516223161,0.6616721029492251,0.4996968300550556,0.499848415013598,0.512385434728759,0.6990318219599225,1.0012134155220114,0.9658398774105098,0.9673494291197371,17.474053859710693,6.591299295425415,1725558611.8816824,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,7.216208219528198,0.0038518905639648438,9.775161743164062e-06,2.384185791015625e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.022567254546705502,0.49834584125163983,-0.06413891943739214,0.4967770048376369,0.029013244871431643,0.5,-0.006445990324726147,0.9709867551285684,0.4967770048376369,0.562484760689032,0.9774327454532945,0.7726963228901746,1.2856346708628392,0.4910340224521696,-0.02033319586616475,0.6586489846081581,0.5016541587483602,0.5008270816372815,0.43751523931096803,0.6956200193559314,0.9934051827558358,0.956908583874885,0.9571887517990555,12.242113590240479,6.4267823696136475,1725558637.982581,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,7.4019365310668945,0.0028634071350097656,9.775161743164062e-06,1.9073486328125e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,0.022605808441001178,0.5003237548298471,0.014734529240621574,0.5006332822367292,0.02133924396754283,0.5,0.0012665644734584092,0.9786607560324572,0.5006332822367292,0.48558922558922557,0.9773941915589989,1.06072653755641,0.9439717240476513,0.4949244618043864,0.004319980470940163,0.6621397594992973,0.49967624517015286,0.49983812256814075,0.5144107744107744,0.6997479718890052,1.0012958584002203,0.9681736314631089,0.9677758585590502,12.242113590240479,6.4267823696136475,1725558637.982581,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,7.4019365310668945,0.0028634071350097656,9.775161743164062e-06,1.9073486328125e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.021649146662740724,0.49845831768895565,-0.06252643987225415,0.496992660315619,0.027663826031502747,0.5,-0.006014679368761988,0.9723361739684973,0.496992660315619,0.5609847575612098,0.9783508533372592,0.7777685049740547,1.2778252400642465,0.4914882374520544,-0.019392691610547158,0.6590574771031057,0.5015416823110443,0.5007708429876473,0.4390152424387902,0.696181767575432,0.9938522265828815,0.9588684013399389,0.9591576215839698,12.120787143707275,6.950546979904175,1725558665.0490327,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,7.9776458740234375,0.004678487777709961,1.2159347534179688e-05,2.6226043701171875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,0.02192813726244518,0.5004851390278479,0.023125849988490987,0.5009499233550938,0.020028290552257633,0.5,0.0018998467101876138,0.9799717094477424,0.5009499233550938,0.47735928903935676,0.9780718627375549,1.0969848532017543,0.9133603238866401,0.49541764781564074,0.0066283912091038705,0.6625809833651465,0.49951486097215214,0.49975743042900966,0.5226407109606432,0.7003294062413138,1.0019424408190927,0.9702479075547187,0.9698595055046786,12.120787143707275,6.950546979904175,1725558665.0490327,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,7.9776458740234375,0.004678487777709961,1.2159347534179688e-05,2.6226043701171875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.021649146662740724,0.4985300179325299,-0.059957587493019604,0.4971321150586709,0.027384916545398985,0.5,-0.005735769882658226,0.972615083454601,0.4971321150586709,0.5584876054255495,0.9783508533372592,0.785915280937171,1.2649420770255952,0.4916292182521148,-0.018544619828384457,0.6591842158042519,0.5014699820674702,0.5007349926219536,0.44151239457445046,0.6963316846130666,0.9941373078348192,0.9593385565984933,0.959460186878916,13.107553005218506,7.565554141998291,1725558692.021785,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,6.2781453132629395,0.003712892532348633,1.2636184692382812e-05,2.384185791015625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,0.02136291806985044,0.5004237371349327,0.020637039721947303,0.5008300732121614,0.019702771645527695,0.5,0.0016601464243226616,0.9802972283544723,0.5008300732121613,0.4797866974129855,0.9786370819301495,1.08609886029705,0.9222884055963443,0.49544064311086183,0.005853247620167548,0.6626015487719137,0.4995762628650673,0.4997881313944952,0.5202133025870145,0.7004027430815513,1.001696386183373,0.970410684329897,0.9705571277368411,13.107553005218506,7.565554141998291,1725558692.021785,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,6.2781453132629395,0.003712892532348633,1.2636184692382812e-05,2.384185791015625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.022906828695569186,0.4983271621163754,-0.06393426803037161,0.4967418637220138,0.029423101251541572,0.5,-0.006516272555972424,0.9705768987484584,0.4967418637220138,0.562261430146747,0.9770931713044309,0.7733400352667491,1.2844685592481344,0.4909110571193258,-0.020411102766692765,0.6585383544848652,0.5016728378836246,0.500836421282454,0.437738569853253,0.6954601581464116,0.9933309609079827,0.9562563748006971,0.95653835481035,12.044145107269287,9.1202871799469,1725558718.4397614,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,5.233211994171143,0.00434422492980957,1.2874603271484375e-05,3.337860107421875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,0.02328052035676872,0.5005402346161761,0.024308543537614247,0.5010564568154782,0.021167606725812416,0.5,0.0021129136309563368,0.9788323932741876,0.5010564568154782,0.4762316910785619,0.9767194796432312,1.102197468315057,0.9092411338502585,0.4951802232711605,0.007166718425424559,0.6623686102372375,0.49945976538382386,0.49972988261311113,0.5237683089214381,0.6999607101683458,1.0021632758176668,0.9686449950287256,0.9683055533916559,12.044145107269287,9.1202871799469,1725558718.4397614,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,77188edfe1bc,0.11.95,5,,0.003920078277587891,3.814697265625e-06,2.384185791015625e-06,5.233211994171143,0.00434422492980957,1.2874603271484375e-05,3.337860107421875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
