,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,diagnostic_odds_ratio,negative_predictive_value,f1_score,threat_score,matthews_correlation_coefficient,fowlkes_mallows_index,markedness,miss_rate,informedness,accuracy,recall,fall_out,prevalence_threshold,false_discovery_rate,prevalence,positive_likelyhood_ratio,negative_likelyhood_ratio,balanced_accuracy,precision,false_omission_rate,specificity,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.908966028939141,0.4771538224006352,0.6557677407963094,0.48783812195132076,-0.009558536615669314,0.6907406493632143,-0.023845968722362443,0.04384279566440008,-0.0038314913223638225,0.49808425433881803,0.9561572043355999,0.9599886956579637,0.5004998960611958,0.5009997911229976,0.5,0.9960088162082599,1.0957602204019736,0.4980842543388181,0.49900020887700236,0.5228461775993648,0.040011304342036244,0.9350403557368486,0.9351504992577876,19.97765064239502,6.944576263427734,1724358820.3558128,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,7.03668737411499,0.0027306079864501953,9.5367431640625e-06,6.4373016357421875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,1.0970902527343365,0.5222580397574641,0.659047005795235,0.4914765906362545,0.008914608483539935,0.694578855867801,0.02315064132167155,0.0368398624534656,0.00343274483460676,0.5017163724173034,0.9631601375465344,0.9597273927119276,0.4995536988623118,0.49910739843579266,0.5,1.0035767915563052,0.9147622896612537,0.5017163724173034,0.5008926015642073,0.4777419602425359,0.040272607288072394,0.946071808002096,0.9479858645147875,19.97765064239502,6.944576263427734,1724358820.3558128,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,7.03668737411499,0.0027306079864501953,9.5367431640625e-06,6.4373016357421875e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.9084190385453126,0.47700517693780586,0.6558123477559001,0.487887495961618,-0.009596915725503752,0.6908101343195797,-0.023996144002926267,0.043647485042831446,-0.0038381496390081926,0.49808092518049585,0.9563525149571686,0.9601906645961767,0.5005006609723651,0.5010013209407321,0.5,0.9960027213546985,1.0964133060769368,0.4980809251804959,0.49899867905926787,0.5229948230621941,0.039809335403823205,0.9354781201912578,0.9360575211649983,17.182453870773315,7.337987422943115,1724358851.047674,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,6.138529300689697,0.0077190399169921875,2.1457672119140625e-05,2.86102294921875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,1.073430987539363,0.5170379054318093,0.6589170350221013,0.4913320444965613,0.006759893063548877,0.694520856418947,0.017708412648989036,0.03657352880250475,0.00258047715153209,0.501290238575766,0.9634264711974952,0.9608459940459633,0.49966474624069607,0.49932949278282024,0.5,1.0026856303377674,0.934094172776057,0.501290238575766,0.5006705072171798,0.4829620945681907,0.03915400595403673,0.9458066725424707,0.9455619588894291,17.182453870773315,7.337987422943115,1724358851.047674,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,6.138529300689697,0.0077190399169921875,2.1457672119140625e-05,2.86102294921875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.903459877570689,0.4756555343423443,0.6561717058694754,0.4882853774812261,-0.009952343731710181,0.6913725947619875,-0.02536162852279089,0.04205910661666512,-0.0039054726184125643,0.4980472636907937,0.9579408933833349,0.9618463660017474,0.5005085819587426,0.5010171628651352,0.5,0.9959396086979597,1.102361746684246,0.4980472636907937,0.49898283713486474,0.5243444656576557,0.03815363399825256,0.9377760512956123,0.9382912369542566,15.489346981048584,7.261657238006592,1724358879.988649,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,6.165923118591309,0.004042625427246094,1.5020370483398438e-05,1.9073486328125e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,1.0670065274602247,0.515609990393852,0.6590330325592496,0.49146104904956844,0.006116737260758967,0.6947454560220799,0.016209197596629865,0.03581299826587203,0.0023082249749941663,0.5011541124874971,0.964187001734128,0.9618787767591338,0.49970039629104546,0.49940079279722216,0.5,1.002399704651735,0.9394503959012583,0.5011541124874971,0.5005992072027778,0.4843900096061479,0.03812122324086623,0.9470231536374438,0.9469016101830451,15.489346981048584,7.261657238006592,1724358879.988649,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,6.165923118591309,0.004042625427246094,1.5020370483398438e-05,1.9073486328125e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.9048447623512288,0.4760567398650155,0.6558224137554979,0.48789863814631823,-0.009962805537858485,0.6908478493709025,-0.02497964254098939,0.04347584843599839,-0.003973535410777385,0.49801323229461125,0.9565241515640016,0.960497686974779,0.5005181917595757,0.5010363824060049,0.5,0.9958630453100906,1.1005899428785462,0.4980132322946113,0.4989636175939951,0.5239432601349845,0.03950231302522096,0.9357855788253234,0.9361893395806786,15.555765628814697,7.843151330947876,1724358909.3460054,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,5.926891326904297,0.0026993751525878906,1.5735626220703125e-05,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,1.075126408210334,0.5174110082503777,0.6588659940948369,0.4912752873268265,0.006939706547437058,0.6944287484036181,0.01810251798766549,0.03686945508135009,0.0026603772468203335,0.5013301886234102,0.9631305449186499,0.9604701676718296,0.49965424496599453,0.4993084902627122,0.5,1.0027698697329341,0.9326995059140578,0.5013301886234102,0.5006915097372878,0.48258899174962233,0.03952983232817041,0.9451086211559072,0.9455513621902447,15.555765628814697,7.843151330947876,1724358909.3460054,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,5.926891326904297,0.0026993751525878906,1.5735626220703125e-05,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.913709967866869,0.47838942671642193,0.6559431428864186,0.4880322877821435,-0.00899727404885134,0.6909699127367469,-0.022547047055558656,0.04332936546982191,-0.0035903122972450463,0.4982048438513775,0.9566706345301781,0.9602609468274231,0.5004682372966238,0.5009364737719806,0.5,0.9962611076613008,1.0903472028297494,0.4982048438513775,0.49906352622801947,0.5216105732835781,0.03973905317257691,0.935872950222951,0.9364027068305327,14.691173553466797,6.849366903305054,1724358936.2418513,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,5.328571319580078,0.0027985572814941406,9.298324584960938e-06,2.384185791015625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,1.0759162837956677,0.5175794714668709,0.6587840300671489,0.4911841529147102,0.007048090119473938,0.6942929304917786,0.01828591441121441,0.03727487408336838,0.002716603239800941,0.5013583016199005,0.9627251259166316,0.9600085226768308,0.499646778351527,0.4992935570556566,0.5,1.0028297699193607,0.932070445463964,0.5013583016199005,0.5007064429443434,0.48242052853312906,0.03999147732316925,0.9450948415921225,0.9451131989100819,14.691173553466797,6.849366903305054,1724358936.2418513,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,605ee5a71b1f,0.11.95,5,,0.0027031898498535156,2.86102294921875e-06,2.1457672119140625e-06,5.328571319580078,0.0027985572814941406,9.298324584960938e-06,2.384185791015625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
