,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,recall,informedness,threat_score,prevalence,fall_out,accuracy,prevalence_threshold,false_discovery_rate,markedness,balanced_accuracy,negative_likelyhood_ratio,fowlkes_mallows_index,false_omission_rate,positive_likelyhood_ratio,miss_rate,f1_score,specificity,diagnostic_odds_ratio,precision,negative_predictive_value,matthews_correlation_coefficient,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000008684701898,1.0,True,0.18377786293601228,0.0019887945755412417,0.1555081764218486,0.5,0.18178906836047115,0.5009943972877705,0.49863991438980143,0.49727984890689125,0.003328556115505421,0.5009943972877706,0.9975693375648795,0.3039553174773567,0.49939159497760327,1.0109401219417524,0.8162221370639877,0.26915980275171375,0.8182109316395288,1.0134033634288637,0.5027201510931087,0.5006084050223967,0.0025728999877378533,0.7474235549198163,0.6247991488766101,12.5867760181427,6.066875219345093,1726875018.5712438,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,4.138899564743042,0.004040718078613281,1.0251998901367188e-05,5.245208740234375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000008684701898,1.0,True,0.15505299862346877,-0.02716586549943767,0.13115422476235253,0.5,0.18221886412290644,0.48641706725028117,0.5201692407621394,0.540272949658813,-0.04844201376820734,0.48641706725028117,1.0332189925979418,0.26698699912865315,0.5081690641093944,0.8509162833925125,0.8449470013765312,0.23189450543741214,0.8177811358770936,0.8235584996874239,0.45972705034118705,0.49183093589060556,-0.03627629019826906,0.7464431905400357,0.6237052443274684,12.5867760181427,6.066875219345093,1726875018.5712438,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,4.138899564743042,0.004040718078613281,1.0251998901367188e-05,5.245208740234375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000008684701898,1.0,True,0.18358462852856341,0.0016815735794286635,0.1553296844100841,0.5,0.18190305494913483,0.5008407867897143,0.4988497680260132,0.49769954822632045,0.0028148478912342068,0.5008407867897143,0.9979445301811707,0.3036686382368132,0.4994856038824454,1.0092443394086965,0.8164153714714366,0.26889239756597455,0.8180969450508652,1.0113230834838831,0.5023004517736795,0.5005143961175547,0.002175631826391966,0.7471774597214744,0.6246448270186833,5.099531888961792,3.122323989868164,1726875034.005821,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,7.173946857452393,0.005180835723876953,1.3113021850585938e-05,3.0994415283203125e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000008684701898,1.0,True,0.15582594044874049,-0.025676432656357884,0.13188796230617414,0.5,0.18150237310509842,0.48716178367182106,0.5190569030278827,0.5380585198820849,-0.04577995787422373,0.48716178367182106,1.031370198046591,0.2682954818323583,0.5077214379921389,0.8585339011435951,0.8441740595512595,0.23304066603457457,0.8184976268949016,0.8324206989591644,0.46194148011791514,0.49227856200786113,-0.03428506971508749,0.7473127238598122,0.6243939891707084,5.099531888961792,3.122323989868164,1726875034.005821,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,7.173946857452393,0.005180835723876953,1.3113021850585938e-05,3.0994415283203125e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000008684701898,1.0,True,0.1838788224859715,0.0008163610921434472,0.15542613216662646,0.5,0.18306246139382798,0.5004081805460717,0.4994438060405347,0.4988876134575104,0.0013623350238531895,0.5004081805460717,0.9990007056187717,0.303552228735959,0.49975005151863644,1.0044594674731662,0.8161211775140285,0.26903689961585897,0.816937538606172,1.0054642222209575,0.5011123865424896,0.5002499484813636,0.0010545886913570501,0.7458581415899784,0.6234337012563325,4.5533201694488525,3.0365705490112305,1726875047.3798468,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,5.761512994766235,0.004406452178955078,1.1205673217773438e-05,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000008684701898,1.0,True,0.15444506685078316,-0.028086447898075906,0.13060545526652076,0.5,0.1825315147488591,0.48595677605096205,0.520873406636538,0.5416741836550605,-0.05011857703741329,0.48595677605096205,1.0343578356900782,0.2660566882166918,0.5084443933823529,0.8461282264779348,0.8455549331492168,0.23103630830391275,0.8174684852511409,0.8180227357328764,0.4583258163449396,0.4915556066176471,-0.037518699373605885,0.7460694070805248,0.6231670105054764,4.5533201694488525,3.0365705490112305,1726875047.3798468,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,5.761512994766235,0.004406452178955078,1.1205673217773438e-05,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000008684701898,1.0,True,0.18366821869358343,0.0015013662106841963,0.1553657322634499,0.5,0.18216685248289932,0.5007506831053421,0.49897400997700303,0.49794802859406573,0.0025113394244868914,0.5007506831053421,0.9981642145280585,0.3036626274004258,0.49954063198144727,1.0082417091266649,0.8163317813064166,0.26894640878620585,0.8178331475171007,1.0100960287414944,0.5020519714059343,0.5004593680185527,0.001941762126390273,0.7468882927894577,0.6243587885037204,5.045434236526489,3.1817238330841064,1726875061.1982608,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,5.568617582321167,0.0036606788635253906,1.3113021850585938e-05,1.9073486328125e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000008684701898,1.0,True,0.15581725570913071,-0.025993425652115376,0.13184620698270857,0.5,0.18181068136124612,0.4870032871739423,0.519275698549125,0.5384941866447166,-0.046312359914034706,0.4870032871739423,1.0317694512259845,0.2681614613079787,0.5078181732693182,0.8570302610523298,0.8441827442908693,0.2329754805366818,0.8181893186387539,0.8306412445473904,0.46150581335528346,0.4921818267306818,-0.03469606439064049,0.7473407586558938,0.6242565721252025,5.045434236526489,3.1817238330841064,1726875061.1982608,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,5.568617582321167,0.0036606788635253906,1.3113021850585938e-05,1.9073486328125e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000008684701898,1.0,True,0.18396675499722634,0.0018151007261488772,0.15562026609070004,0.5,0.1821516542710775,0.5009075503630744,0.49876057046469147,0.4975211561612316,0.0030343004692994224,0.5009075503630744,0.9977806389954471,0.3040384882803101,0.49944454336946903,1.0099647776102414,0.8160332450027736,0.26932768601772866,0.8178483457289225,1.012211239764144,0.5024788438387684,0.500555456630531,0.0023468193337321808,0.7469175996408618,0.6245315187181283,5.6405322551727295,3.203037977218628,1726875075.0799146,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,5.017393350601196,0.0048716068267822266,1.049041748046875e-05,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000008684701898,1.0,True,0.15379805374985345,-0.029445609647008708,0.12998003581809106,0.5,0.18324366339686216,0.48527719517649565,0.5218830566118019,0.5436824407024234,-0.05253582263948753,0.48527719517649565,1.0360518900526343,0.2649165010184353,0.5088533819370641,0.8393089883646534,0.8462019462501466,0.23005722525705896,0.8167563366031378,0.8101032355840924,0.45631755929757656,0.4911466180629359,-0.03933127668823924,0.7443452046132869,0.6215303868514132,5.6405322551727295,3.203037977218628,1726875075.0799146,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,d58267602efd,0.11.95,5,,0.0028638839721679688,2.384185791015625e-06,2.1457672119140625e-06,5.017393350601196,0.0048716068267822266,1.049041748046875e-05,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
