,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,positive_likelyhood_ratio,negative_likelyhood_ratio,accuracy,prevalence_threshold,balanced_accuracy,recall,matthews_correlation_coefficient,f1_score,false_omission_rate,miss_rate,diagnostic_odds_ratio,threat_score,fall_out,prevalence,markedness,fowlkes_mallows_index,specificity,false_discovery_rate,precision,negative_predictive_value,informedness,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000008684701898,1.0,True,0.9939048075715015,1.0986714434990306,0.49712970913879334,0.5007642298976479,0.4971297091387933,0.9360806634236577,-0.011988504608594144,0.6505299299022147,0.5235080731204211,0.0639193365763423,0.9046424328697668,0.4820632515807305,0.9418212451460711,0.5,-0.025036529344949265,0.6830882617899084,0.0581787548539289,0.5015284562245281,0.49847154377547187,0.47649192687957886,-0.005740581722413429,0.9059110356741993,0.9070453674920912,13.55353331565857,14.43957257270813,1725559979.314478,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,5.528282880783081,0.0027191638946533203,9.775161743164062e-06,5.9604644775390625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000008684701898,1.0,True,1.0035432726200404,0.9419972846583199,0.501669641189983,0.4995578738628905,0.501669641189983,0.9457681435066373,0.007267796762748649,0.6549194130382487,0.4850662213073368,0.05423185649336271,1.0653356320279037,0.4868997585621032,0.9424288611266712,0.5,0.015818030275462025,0.6882734694372398,0.05757113887332873,0.4991157484172012,0.5008842515827988,0.5149337786926632,0.0033392823799660576,0.9206746394473593,0.9219618624639975,13.55353331565857,14.43957257270813,1725559979.314478,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,5.528282880783081,0.0027191638946533203,9.775161743164062e-06,5.9604644775390625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000008684701898,1.0,True,0.9941102630359052,1.103394098096486,0.4972138420970927,0.5007383931969875,0.4972138420970927,0.9405337394874511,-0.012049274950333672,0.6516460704158612,0.5245779186577669,0.059466260512548885,0.9009566615870873,0.48329007400663926,0.9461060552932657,0.5,-0.026054701831012328,0.6847465993660581,0.05389394470673422,0.5014767831732454,0.4985232168267546,0.47542208134223307,-0.005572315805814632,0.9124852049642924,0.9135584878574555,8.012377262115479,4.912257671356201,1725560003.2598736,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,10.958657503128052,0.012323379516601562,1.1682510375976562e-05,2.86102294921875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000008684701898,1.0,True,1.00211064360865,0.9627409687348133,0.5009987450551264,0.4997364476082156,0.5009987450551264,0.9483865924989904,0.004473502681005451,0.6552401239058855,0.4905084186200066,0.05161340750100962,1.0408933203762736,0.4872543682735726,0.9463891023887376,0.5,0.010018686017139178,0.6889798220704351,0.05361089761126237,0.4994728953628542,0.5005271046371458,0.5094915813799934,0.001997490110252853,0.9237093379486859,0.9241425110976744,8.012377262115479,4.912257671356201,1725560003.2598736,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,10.958657503128052,0.012323379516601562,1.1682510375976562e-05,2.86102294921875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000008684701898,1.0,True,0.99436523491415,1.0946904536405282,0.49734085572446074,0.5007063370630689,0.49734085572446074,0.9385167196613838,-0.01130130853783072,0.6512159571543176,0.5226024932409364,0.061483280338616164,0.908352887893802,0.48281706816487346,0.9438350082124624,0.5,-0.024015164547878,0.6840559510666809,0.056164991787537685,0.5014126713069416,0.49858732869305844,0.47739750675906356,-0.0053182885510785205,0.9096776973677971,0.9109881319584678,11.977985858917236,4.546242713928223,1725560024.8174593,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,5.005306005477905,0.0044023990631103516,9.059906005859375e-06,2.1457672119140625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000008684701898,1.0,True,1.0030863629673241,0.9479077711357821,0.501456865069543,0.4996147988354322,0.501456865069543,0.9469796646822036,0.006419126545678805,0.6551122299391988,0.4866286716352477,0.053020335317796374,1.0582109288601222,0.48711293575788983,0.9440659345431176,0.5,0.014141730236679528,0.6886358887303581,0.05593406545688244,0.49922959812807266,0.5007704018719273,0.5133713283647523,0.0029137301390860237,0.921257547943756,0.9210819845695046,11.977985858917236,4.546242713928223,1725560024.8174593,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,5.005306005477905,0.0044023990631103516,9.059906005859375e-06,2.1457672119140625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000008684701898,1.0,True,0.9937724517836622,1.1045214100930543,0.49706131718559515,0.5007808768999936,0.4970613171855951,0.9378914218035718,-0.012455085402026889,0.6509382464993994,0.5248325841665902,0.06210857819642823,0.8997312706685681,0.48251182335450404,0.9437687874323816,0.5,-0.026394334157359367,0.6837257922460156,0.056231212567618476,0.5015617499907692,0.49843825000923087,0.4751674158334098,-0.005877365628809805,0.9087093704065683,0.9100614357782626,7.170472860336304,5.3380372524261475,1725560043.4100788,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,6.061664581298828,0.005533695220947266,1.1920928955078125e-05,3.0994415283203125e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000008684701898,1.0,True,1.0022635884317748,0.9619636644762279,0.5010682229720047,0.49971737123321053,0.5010682229720047,0.9459678925176626,0.004681574758708562,0.6546945178658099,0.49030656474111434,0.054032107482337444,1.041893395191272,0.48665119302658594,0.9438314465736531,0.5,0.01025869261182688,0.6881269225700468,0.05616855342634689,0.4994347426470588,0.5005652573529412,0.5096934352588857,0.002136445944009413,0.9201096113759702,0.9200981870170069,7.170472860336304,5.3380372524261475,1725560043.4100788,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,6.061664581298828,0.005533695220947266,1.1920928955078125e-05,3.0994415283203125e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000008684701898,1.0,True,0.9943391491918496,1.0938782522381514,0.4973305426521531,0.5007096162922681,0.4973305426521531,0.9377904622536125,-0.011281013839105,0.6510354432583425,0.5224173139335594,0.06220953774638749,0.9090034902489031,0.4826186425764064,0.9431293769493063,0.5,-0.023836543659467413,0.6837867291971254,0.05687062305069364,0.501419229725908,0.498580770274092,0.4775826860664406,-0.005338914695693808,0.9083395229178213,0.9090229367141592,7.196936845779419,5.7835376262664795,1725560061.3654864,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,4.941103219985962,0.003618478775024414,1.049041748046875e-05,2.6226043701171875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000008684701898,1.0,True,1.0030740486785732,0.9485599876790398,0.5014503515148357,0.49961633339382977,0.5014503515148356,0.9465106887432747,0.006365030804126523,0.6549973481097958,0.48680050584887763,0.05348931125672529,1.0574703357801543,0.4869859157446961,0.9436099857136033,0.5,0.01396682691163642,0.6884632401452432,0.05639001428639666,0.4992326672394859,0.5007673327605141,0.5131994941511224,0.00290070302967127,0.9217836021671015,0.9247770010262718,7.196936845779419,5.7835376262664795,1725560061.3654864,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,9e5fd951ed59,0.11.95,5,,0.002808809280395508,2.86102294921875e-06,1.9073486328125e-06,4.941103219985962,0.003618478775024414,1.049041748046875e-05,2.6226043701171875e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
