,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,informedness,false_omission_rate,positive_likelyhood_ratio,markedness,diagnostic_odds_ratio,miss_rate,precision,false_discovery_rate,specificity,negative_likelyhood_ratio,prevalence,matthews_correlation_coefficient,recall,accuracy,prevalence_threshold,negative_predictive_value,fowlkes_mallows_index,f1_score,threat_score,balanced_accuracy,fall_out,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005282769016,1.0,True,-0.003270912322600905,0.5008469089532981,0.9093709023267157,-0.024579620487459763,0.9062954940720906,0.967179718582678,0.4762672884658383,0.5237327115341617,0.9639088062600771,1.0033933835870759,0.5,-0.00896648111230297,0.03282028141732197,0.49836454383869955,0.5118730469318599,0.4991530910467019,0.12502490326856355,0.06140879236513737,0.03167701995309154,0.49836454383869955,0.03609119373992287,0.9465811257385209,0.868579368797001,7.563473463058472,3.4651522636413574,1725806415.7240343,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,5.674306869506836,0.004797458648681641,1.9311904907226562e-05,4.0531158447265625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005282769016,1.0,True,-0.020299093562488713,0.505210110620219,0.4380940775042659,-0.20057491021347384,0.42905815934713365,0.9841736626855028,0.3046352004067452,0.6953647995932548,0.9638745691230141,1.0210598912065476,0.5,-0.06380821944476328,0.015826337314497278,0.48985045321875564,0.6017257171763476,0.49478988937978097,0.06943528958322726,0.03008947328774576,0.015274538046133778,0.48985045321875564,0.03612543087698594,0.9464419939055425,0.8684665549306323,7.563473463058472,3.4651522636413574,1725806415.7240343,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,5.674306869506836,0.004797458648681641,1.9311904907226562e-05,4.0531158447265625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005282769016,1.0,True,-0.003371064752397901,0.5008729813553071,0.907125530624621,-0.025222314391858958,0.9039634368218546,0.967074063272123,0.47565066696344815,0.5243493330365518,0.9637029985197251,1.0034980328561558,0.5,-0.009220957380895622,0.032925936727877046,0.49831446762380105,0.512181893328494,0.4991270186446929,0.12514489108633645,0.0615885341611838,0.031772683584768396,0.49831446762380105,0.036297001480274926,0.9462842668255639,0.8680402465925382,5.080718755722046,3.119753837585449,1725806429.9131684,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,5.904110908508301,0.0027344226837158203,9.775161743164062e-06,2.384185791015625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005282769016,1.0,True,-0.02093302751889703,0.5053717523774665,0.42251639543356756,-0.20835134769890418,0.4135342810157693,0.9846843317059427,0.2970204046785623,0.7029795953214377,0.9637513041870457,1.0217203623257918,0.5,-0.06604108187318285,0.015315668294057309,0.48953348624055154,0.6060559736810921,0.49462824762253355,0.06744676415235595,0.029129302621553506,0.014779915628305726,0.4895334862405515,0.03624869581295431,0.9463848273438378,0.868164680632329,5.080718755722046,3.119753837585449,1725806429.9131684,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,5.904110908508301,0.0027344226837158203,9.775161743164062e-06,2.384185791015625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005282769016,1.0,True,-0.003443702778404445,0.5008914402928734,0.9042152631095608,-0.026042151650481293,0.90099678559477,0.9674911816335852,0.47484928864239206,0.5251507113576079,0.9640474788551807,1.003572129852457,0.5,-0.009470027982767124,0.03250881836641482,0.4982781486107978,0.5125833204036822,0.49910855970712664,0.1242448762561129,0.06085165118147545,0.03138060644950185,0.4982781486107978,0.03595252114481928,0.9467027815741708,0.8689133618891727,5.922677993774414,3.152848482131958,1725806444.7772794,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,5.768980026245117,0.005069732666015625,9.298324584960938e-06,2.384185791015625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005282769016,1.0,True,-0.019801631499473893,0.5050798684519615,0.4404080617068923,-0.19932757962833048,0.4315492052828132,0.9844157902382975,0.30575228882363104,0.694247711176369,0.9646141587388236,1.0205280332245623,0.5,-0.06282524396675468,0.015584209761702465,0.49009918425026305,0.6010943012373953,0.4949201315480385,0.06902831161304833,0.029656810384910214,0.015051596362105693,0.49009918425026305,0.03538584126117639,0.9477394791218106,0.8705271093427994,5.922677993774414,3.152848482131958,1725806444.7772794,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,5.768980026245117,0.005069732666015625,9.298324584960938e-06,2.384185791015625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005282769016,1.0,True,-0.0030640040060971874,0.5007933784814326,0.9149819825322174,-0.022991503122626655,0.9120828746484798,0.9670245373453003,0.4778018753588059,0.5221981246411941,0.9639605333392031,1.0031785575240133,0.5,-0.008393214978417066,0.032975462654699736,0.4984679979969514,0.5111045368548943,0.49920662151856743,0.12552186222821823,0.061693175184773755,0.03182838464733508,0.4984679979969514,0.03603946666079694,0.946644925518406,0.8687141765593176,6.4731738567352295,3.4752132892608643,1725806462.7310467,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,7.9786388874053955,0.004202842712402344,2.6941299438476562e-05,2.86102294921875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005282769016,1.0,True,-0.021298420007660024,0.5054659255242228,0.4165460684997584,-0.21140837401732682,0.4075373117355269,0.9847943896844857,0.29405755150689594,0.7059424484931041,0.9634959696768257,1.0221053545400962,0.5,-0.0671018952262715,0.015205610315514213,0.48935078999617,0.6077535486291169,0.49453407447577724,0.06686796346942316,0.02891598541643121,0.014670092802990083,0.48935078999617,0.036504030323174286,0.9460084763745008,0.8675134843490617,6.4731738567352295,3.4752132892608643,1725806462.7310467,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,7.9786388874053955,0.004202842712402344,2.6941299438476562e-05,2.86102294921875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005282769016,1.0,True,-0.0035812747973563708,0.5009270306643738,0.900516677367086,-0.027099735123546353,0.8971836307451372,0.9675825294541692,0.4738272955408275,0.5261727044591725,0.9640012546568129,1.003715010514827,0.5,-0.00985147696606914,0.032417470545830745,0.4982093626013218,0.5130953288200643,0.49907296933562617,0.12393660636392063,0.06068322450320825,0.031291032630635145,0.4982093626013218,0.035998745343187144,0.9467454942561233,0.8688344375461746,5.405689477920532,3.5794897079467773,1725806477.887904,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,6.1406450271606445,0.003966093063354492,1.1920928955078125e-05,2.384185791015625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005282769016,1.0,True,-0.020211047179654273,0.5051871134521477,0.43868443575009153,-0.20026657295754413,0.4296758689148147,0.9842044789194948,0.30492054049460354,0.6950794595053964,0.9639934317398405,1.0209659594289733,0.5,-0.06362072896904432,0.01579552108050521,0.48989447641017286,0.6015643421337418,0.49481288654785227,0.06940013562855302,0.03003515821195379,0.015246545306205702,0.48989447641017286,0.036006568260159466,0.9469008713088678,0.8688970902094053,5.405689477920532,3.5794897079467773,1725806477.887904,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,2688756e945b,0.11.95,5,,0.0031642913818359375,2.1457672119140625e-06,1.9073486328125e-06,6.1406450271606445,0.003966093063354492,1.1920928955078125e-05,2.384185791015625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
