,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,recall,miss_rate,prevalence,balanced_accuracy,informedness,precision,markedness,specificity,prevalence_threshold,threat_score,fowlkes_mallows_index,false_omission_rate,accuracy,negative_likelyhood_ratio,matthews_correlation_coefficient,false_discovery_rate,fall_out,negative_predictive_value,positive_likelyhood_ratio,diagnostic_odds_ratio,f1_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005282769016,1.0,True,0.235615744842425,0.764384255157575,0.5,0.517402860397418,0.034805720794836015,0.5398758772693,0.05100605583783757,0.799189975952411,0.4800302571128362,0.19621400564947933,0.35665565598384075,0.4888698214314624,0.517402860397418,0.9564487520587863,0.042134339182400754,0.4601241227307,0.20081002404758896,0.5111301785685376,1.1733266103617797,1.226753245101901,0.32805836534733723,0.7251189007728228,0.6068987860486819,6.311648368835449,2.9587292671203613,1726926490.6711738,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,6.082935094833374,0.0030646324157714844,1.1205673217773438e-05,2.1457672119140625e-06,7.3909759521484375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005282769016,1.0,True,0.20237020862590413,0.7976297913740958,0.5,0.5006757559882546,0.0013515119765092898,0.5016751972585697,0.0020984412097657668,0.7989813033506051,0.49916239902017395,0.16849879955281052,0.31862848951664435,0.499576756048804,0.5006757559882546,0.9983084560666919,0.0016840630709681892,0.4983248027414303,0.20101869664939487,0.500423243951196,1.0067233147912926,1.0084291169462343,0.28840217827745435,0.7236098625966163,0.6047986578816532,6.311648368835449,2.9587292671203613,1726926490.6711738,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,6.082935094833374,0.0030646324157714844,1.1205673217773438e-05,2.1457672119140625e-06,7.3909759521484375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005282769016,1.0,True,0.23597783439630646,0.7640221656036935,0.5,0.5177957660835447,0.035591532167089435,0.540781917187701,0.05216293402185057,0.799613697770783,0.4795750146034039,0.19658491100579542,0.3572289821649923,0.48861898316585056,0.5177957660835447,0.9554890914621474,0.04308780273080137,0.45921808281229903,0.20038630222921705,0.5113810168341495,1.1776145962630575,1.232473093398691,0.3285766170000506,0.7255065777317151,0.607321094184027,5.161769151687622,2.9163644313812256,1726926504.410104,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,5.641949653625488,0.004582405090332031,9.5367431640625e-06,2.1457672119140625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005282769016,1.0,True,0.20092184562827697,0.799078154371723,0.5,0.5004226226376055,0.0008452452752110151,0.5010539258738802,0.001318229955726391,0.799923399646934,0.4994730364777161,0.16742418406388826,0.31728958310331257,0.4997356959181538,0.5004226226376055,0.9989433422305385,0.0010555698184958606,0.4989460741261198,0.20007660035306596,0.5002643040818462,1.0042246083436017,1.0052868525068406,0.2868266502430548,0.7251637795839939,0.6058787356284676,5.161769151687622,2.9163644313812256,1726926504.410104,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,5.641949653625488,0.004582405090332031,9.5367431640625e-06,2.1457672119140625e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005282769016,1.0,True,0.23585456986732556,0.7641454301326744,0.5,0.5176075675616185,0.03521513512323704,0.5403386240718094,0.051600216680696365,0.7993605652559115,0.47979776112204764,0.19644079899607578,0.35698926281214555,0.48873840739111307,0.5176075675616185,0.9559458689184109,0.042627556847642994,0.45966137592819056,0.20063943474408852,0.5112615926088869,1.175514525188696,1.229687332106694,0.3283752930540445,0.7252296009207702,0.6070710060567059,5.329220771789551,2.9639570713043213,1726926518.1552892,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,5.431620121002197,0.004297494888305664,1.0728836059570312e-05,1.9073486328125e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005282769016,1.0,True,0.20141490537215004,0.79858509462785,0.5,0.500605318881987,0.0012106377639740096,0.5015071961766544,0.0018859037235383624,0.799795732391824,0.49924640019975614,0.1678171881304332,0.3178223158643413,0.499621292453116,0.500605318881987,0.9984863162993461,0.0015110083609744807,0.4984928038233456,0.200204267608176,0.500378707546884,1.0060470127756886,1.0075721583289838,0.2874031823407102,0.7248507484577511,0.6056819488857712,5.329220771789551,2.9639570713043213,1726926518.1552892,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,5.431620121002197,0.004297494888305664,1.0728836059570312e-05,1.9073486328125e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005282769016,1.0,True,0.23628709629491038,0.7637129037050896,0.5,0.5174633920857569,0.034926784171513736,0.5399028801492759,0.051080505596856396,0.7986396878766034,0.48001669088014504,0.1966829550722168,0.3571723447185286,0.4888223745524195,0.5174633920857569,0.9562671568897658,0.04223834507119342,0.4600971198507241,0.20136031212339656,0.5111776254475805,1.173454161861401,1.2271195903852123,0.3287135564830494,0.7244828773926775,0.6065226554239532,5.248097658157349,2.9614100456237793,1726926531.6409018,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,5.251090049743652,0.0038890838623046875,1.0728836059570312e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005282769016,1.0,True,0.19968479394945257,0.8003152060505474,0.5,0.4995113425752687,-0.0009773148494626183,0.4987794149989004,-0.001526062123339944,0.7993378912010848,0.5006102934097827,0.16631223096496953,0.3155925612404131,0.5003054771222404,0.49951134257526864,1.0012226554755137,-0.0012212465657444604,0.5012205850010996,0.20066210879891522,0.4996945228777596,0.9951295495930325,0.9939143347894106,0.28519332396500396,0.7236272311296826,0.604348437034151,5.248097658157349,2.9614100456237793,1726926531.6409018,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,5.251090049743652,0.0038890838623046875,1.0728836059570312e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005282769016,1.0,True,0.23621335769275215,0.7637866423072479,0.5,0.5174655932380601,0.034931186476120146,0.5399217639585927,0.05109971164527627,0.7987178287833681,0.48000720361186505,0.1966343656407724,0.35712285386971915,0.4888220523133164,0.5174655932380601,0.9562659236875576,0.04224894739939819,0.4600782360414073,0.20128217121663194,0.5111779476866836,1.1735433708061762,1.2272144617270813,0.3286456937670829,0.7244774833491822,0.6063411798730044,7.24444055557251,2.9844143390655518,1726926546.6435564,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,4.753939867019653,0.0032339096069335938,9.5367431640625e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005282769016,1.0,True,0.19997974933194806,0.8000202506680519,0.5,0.4989764607995492,-0.0020470784009015697,0.49745392424192647,-0.0031865910353959803,0.7979731722671504,0.5012730461316159,0.16636879037810756,0.31540562942676587,0.5006405152773225,0.4989764607995492,1.0025653473976894,-0.0025540559275524233,0.5025460757580735,0.20202682773284963,0.49935948472267755,0.989867294240701,0.9873344384084806,0.28527647816120827,0.7229465185909019,0.604178639667989,7.24444055557251,2.9844143390655518,1726926546.6435564,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,503009cb367b,0.11.95,5,,0.004068613052368164,2.86102294921875e-06,2.86102294921875e-06,4.753939867019653,0.0032339096069335938,9.5367431640625e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
